array_size,comparisons,swaps
100,670,500
100,754,577
100,728,526
100,685,520
100,718,540
100,774,587
100,790,592
100,749,558
100,716,551
100,654,483
100,817,621
100,711,527
100,741,563
100,793,597
100,724,563
100,735,568
100,708,540
100,702,535
100,712,539
100,855,648
100,712,538
100,628,470
100,817,610
100,726,538
100,774,589
100,687,505
100,562,421
100,768,586
100,737,565
100,816,610
100,738,555
100,737,554
100,701,523
100,774,580
100,718,534
100,785,585
100,733,556
100,734,548
100,766,590
100,776,590
100,747,550
100,753,564
100,690,505
100,773,594
100,763,571
100,744,542
100,722,557
100,692,507
100,744,579
100,713,543
100,708,529
100,764,576
100,739,565
100,800,598
100,735,562
100,687,515
100,720,551
100,694,524
100,401,305
100,646,490
100,721,555
100,731,536
100,684,510
100,681,516
100,650,492
100,735,559
100,748,549
100,787,607
100,803,618
100,708,523
100,729,561
100,679,521
100,645,486
100,689,514
100,543,413
100,663,504
100,740,568
100,682,528
100,715,552
100,694,531
100,738,572
100,617,470
100,666,519
100,722,538
100,770,589
100,720,554
100,719,568
100,762,584
100,730,558
100,751,581
100,756,582
100,692,536
100,727,561
100,714,544
100,698,543
100,682,520
100,733,562
100,699,542
100,680,517
100,685,529
200,1383,1056
200,1543,1182
200,1548,1172
200,1512,1171
200,1554,1189
200,1645,1242
200,1540,1180
200,1463,1087
200,1640,1238
200,1650,1245
200,1471,1122
200,1482,1120
200,1573,1161
200,1511,1144
200,1547,1144
200,1485,1129
200,1526,1156
200,1597,1218
200,1653,1267
200,1516,1138
200,1583,1210
200,1628,1232
200,1536,1164
200,1563,1188
200,1585,1200
200,1586,1213
200,1567,1188
200,1174,896
200,1474,1120
200,1431,1082
200,1485,1104
200,1532,1200
200,1633,1251
200,1526,1154
200,1503,1147
200,1566,1207
200,1609,1242
200,1391,1064
200,1537,1169
200,1630,1221
200,1565,1202
200,1588,1211
200,1573,1191
200,1582,1198
200,1448,1099
200,1459,1106
200,1546,1189
200,1588,1218
200,1447,1114
200,1555,1188
200,1565,1200
200,1526,1158
200,1647,1287
200,1486,1097
200,1695,1279
200,1533,1146
200,1643,1252
200,1487,1143
200,1570,1227
200,1618,1259
200,1586,1239
200,1379,1063
200,1454,1116
200,1513,1167
200,1541,1187
200,1388,1055
200,1563,1172
200,1632,1236
200,1653,1259
200,1571,1210
200,1548,1182
200,1478,1140
200,1508,1147
200,1589,1228
200,1520,1160
200,1567,1176
200,1509,1154
200,1543,1175
200,1467,1103
200,1586,1226
200,1425,1094
200,1644,1270
200,1708,1325
200,1556,1197
200,1432,1100
200,1439,1088
200,1510,1155
200,1420,1098
200,1498,1154
200,1618,1245
200,1455,1109
200,1569,1219
200,1482,1161
200,1605,1249
200,1426,1077
200,1537,1192
200,1451,1088
200,1409,1077
200,1571,1205
200,1549,1145
300,2372,1825
300,2359,1748
300,2491,1896
300,2385,1785
300,2454,1869
300,2405,1816
300,2415,1841
300,2360,1792
300,2396,1819
300,2241,1708
300,2429,1853
300,2532,1939
300,2354,1772
300,2502,1924
300,2173,1654
300,2395,1801
300,2317,1759
300,2479,1911
300,2303,1765
300,2223,1712
300,2198,1681
300,2291,1765
300,2271,1722
300,2323,1753
300,2406,1836
300,2385,1821
300,2378,1799
300,2290,1773
300,2523,1948
300,2250,1710
300,2294,1736
300,2318,1786
300,2488,1926
300,2232,1689
300,2227,1702
300,2417,1856
300,2346,1786
300,2336,1777
300,2430,1859
300,2405,1818
300,2499,1930
300,2413,1823
300,2100,1602
300,2261,1699
300,2298,1733
300,2194,1680
300,2407,1846
300,2524,1935
300,1167,898
300,2494,1909
300,2260,1738
300,2454,1875
300,2488,1902
300,2367,1780
300,2473,1883
300,2449,1878
300,2340,1808
300,2320,1762
300,2318,1747
300,2285,1730
300,2458,1898
300,2392,1836
300,2471,1914
300,2399,1835
300,2351,1799
300,2402,1834
300,2314,1765
300,2508,1923
300,2382,1796
300,2415,1827
300,2279,1746
300,2541,1948
300,2281,1753
300,2240,1712
300,2477,1885
300,2382,1811
300,2326,1793
300,2459,1882
300,2400,1835
300,2370,1828
300,2305,1774
300,2308,1751
300,2340,1789
300,2365,1783
300,2283,1757
300,2525,1961
300,2452,1932
300,2290,1754
300,2347,1828
300,2428,1884
300,2412,1862
300,2295,1783
300,2197,1696
300,2167,1663
300,2298,1731
300,2406,1872
300,2300,1773
300,2342,1800
300,2452,1880
300,2543,1970
400,3290,2521
400,3412,2596
400,3296,2500
400,3204,2425
400,3266,2494
400,3242,2485
400,3285,2448
400,3153,2412
400,3059,2341
400,2957,2235
400,3311,2500
400,3415,2577
400,3091,2343
400,3239,2479
400,3194,2393
400,3203,2424
400,3469,2675
400,3195,2445
400,3142,2402
400,3282,2512
400,3187,2438
400,3319,2526
400,2969,2253
400,3331,2508
400,3323,2518
400,3311,2542
400,3110,2361
400,3257,2454
400,3315,2503
400,3197,2434
400,3194,2439
400,3376,2579
400,3204,2442
400,3154,2416
400,3351,2549
400,3106,2365
400,3280,2486
400,3224,2425
400,3363,2602
400,2893,2212
400,3050,2317
400,2979,2268
400,3248,2439
400,3280,2494
400,3343,2551
400,3445,2627
400,3215,2439
400,3344,2532
400,3315,2525
400,3327,2565
400,3193,2420
400,3129,2374
400,3171,2427
400,3431,2617
400,3302,2493
400,3260,2509
400,3290,2516
400,3361,2556
400,3555,2728
400,2929,2273
400,3218,2479
400,3272,2504
400,3229,2473
400,3318,2533
400,3333,2527
400,3193,2449
400,3020,2301
400,3202,2452
400,3185,2430
400,3157,2409
400,3327,2541
400,3137,2411
400,3155,2442
400,3266,2519
400,3173,2419
400,3241,2469
400,3266,2487
400,3133,2389
400,3247,2472
400,3187,2458
400,3159,2396
400,3234,2493
400,3026,2326
400,3104,2374
400,3234,2496
400,3218,2492
400,3023,2302
400,3404,2639
400,3144,2401
400,3300,2551
400,3118,2386
400,3240,2489
400,3205,2485
400,3480,2675
400,3333,2564
400,3279,2525
400,3244,2522
400,3100,2379
400,3113,2413
400,3215,2481
500,4186,3182
500,4017,3051
500,4245,3188
500,4050,3059
500,4199,3196
500,4122,3107
500,4091,3079
500,4032,3055
500,4175,3151
500,3855,2968
500,4158,3164
500,3966,2968
500,4096,3126
500,4308,3322
500,4157,3173
500,3939,3014
500,4216,3169
500,3982,3045
500,4152,3150
500,3988,3058
500,4289,3264
500,4006,3053
500,3975,3013
500,3902,2972
500,4218,3263
500,4013,3060
500,4182,3207
500,3971,3044
500,4052,3045
500,4170,3167
500,4098,3142
500,4160,3196
500,3970,3001
500,3878,2960
500,4315,3280
500,4257,3271
500,4183,3188
500,4297,3266
500,4058,3103
500,3891,2985
500,4132,3181
500,4086,3107
500,3947,3034
500,3774,2888
500,4089,3100
500,4229,3262
500,4034,3052
500,4072,3097
500,3966,3023
500,3960,3045
500,3885,2984
500,4134,3136
500,4152,3178
500,4245,3228
500,3882,2985
500,4055,3077
500,4064,3051
500,3963,3042
500,3973,3028
500,4209,3221
500,4043,3133
500,4204,3196
500,3927,2970
500,3903,2943
500,3878,2925
500,4180,3203
500,4016,3062
500,3981,3036
500,3958,3026
500,4106,3134
500,4137,3213
500,3735,2845
500,4078,3153
500,3921,2971
500,4085,3091
500,4079,3135
500,4278,3302
500,4050,3135
500,4163,3180
500,4070,3095
500,3878,2979
500,4112,3139
500,4224,3239
500,3998,3035
500,4115,3195
500,3917,3035
500,4081,3139
500,4140,3187
500,4105,3125
500,3957,3075
500,3967,3023
500,4052,3073
500,3989,3093
500,3765,2865
500,4263,3281
500,3891,3014
500,4051,3146
500,4203,3247
500,4079,3169
500,3988,3070
600,4738,3644
600,4615,3486
600,4993,3809
600,4792,3657
600,4752,3650
600,5070,3878
600,5272,4081
600,5045,3847
600,4699,3582
600,4945,3780
600,4854,3697
600,4860,3679
600,5065,3896
600,4612,3538
600,4484,3430
600,4857,3718
600,5100,3919
600,4743,3617
600,4594,3476
600,4826,3709
600,4743,3568
600,4949,3785
600,4929,3769
600,4774,3615
600,5104,3884
600,4971,3789
600,5125,3914
600,4804,3670
600,4862,3733
600,4960,3810
600,5123,3897
600,4973,3782
600,4806,3685
600,4958,3843
600,5051,3844
600,4773,3642
600,4954,3782
600,4958,3779
600,4745,3635
600,5069,3900
600,5030,3831
600,4931,3825
600,5118,3912
600,4460,3415
600,4954,3765
600,4684,3619
600,4987,3844
600,5025,3851
600,5016,3851
600,4970,3837
600,5025,3877
600,5044,3882
600,4811,3662
600,4924,3745
600,4834,3762
600,5123,3926
600,4944,3804
600,4956,3796
600,5061,3914
600,5069,3914
600,5013,3832
600,5072,3893
600,4953,3799
600,4345,3315
600,4901,3770
600,4972,3792
600,5023,3838
600,4774,3676
600,4879,3733
600,5019,3812
600,4782,3657
600,5284,4057
600,4797,3692
600,4985,3844
600,5093,3909
600,4904,3769
600,5034,3898
600,5040,3889
600,4661,3551
600,4767,3584
600,5320,4147
600,4951,3817
600,4863,3742
600,5106,3954
600,4993,3850
600,4908,3791
600,4660,3574
600,4951,3803
600,4571,3536
600,4800,3684
600,4912,3746
600,4995,3797
600,5058,3896
600,4914,3783
600,4869,3749
600,5020,3889
600,4548,3493
600,4779,3697
600,4929,3815
600,5096,3913
700,5659,4286
700,5900,4532
700,5932,4504
700,6211,4764
700,5892,4525
700,5433,4088
700,5558,4267
700,5945,4493
700,5865,4484
700,6017,4572
700,5740,4382
700,5918,4532
700,5599,4285
700,5752,4392
700,5758,4434
700,5928,4543
700,5825,4388
700,5677,4315
700,5582,4289
700,5930,4551
700,5750,4383
700,5913,4527
700,5462,4144
700,5663,4338
700,5439,4124
700,4533,3478
700,5901,4483
700,6006,4610
700,5808,4421
700,5519,4225
700,5563,4244
700,5913,4502
700,6009,4578
700,5948,4521
700,5911,4518
700,5898,4506
700,5710,4329
700,5934,4542
700,5713,4397
700,5827,4412
700,5828,4487
700,5708,4369
700,5775,4415
700,5752,4393
700,5809,4441
700,5683,4333
700,5526,4206
700,5731,4410
700,6011,4633
700,5801,4403
700,5701,4295
700,5882,4474
700,6070,4638
700,5891,4516
700,6150,4740
700,5740,4367
700,6044,4590
700,5693,4353
700,5990,4606
700,5947,4587
700,5533,4233
700,5849,4491
700,5716,4364
700,5639,4327
700,6027,4663
700,5896,4521
700,5791,4465
700,5821,4477
700,5593,4279
700,5738,4355
700,5625,4290
700,5481,4180
700,5722,4364
700,5743,4396
700,5678,4305
700,5892,4575
700,5784,4473
700,5778,4415
700,5668,4343
700,4369,3320
700,5853,4470
700,5456,4221
700,5739,4388
700,5888,4508
700,5929,4578
700,5883,4570
700,5879,4523
700,5387,4130
700,5273,4080
700,5725,4400
700,5768,4389
700,5636,4274
700,6107,4731
700,6345,4885
700,6088,4693
700,5623,4355
700,5909,4505
700,5687,4386
700,5789,4463
700,5840,4477
800,6704,5130
800,6797,5196
800,6565,4991
800,6522,4962
800,6726,5150
800,6213,4750
800,6748,5145
800,6773,5184
800,6842,5202
800,6585,5046
800,6735,5079
800,6326,4811
800,6884,5229
800,6912,5231
800,6726,5079
800,6445,4937
800,6165,4662
800,6745,5148
800,6871,5270
800,6550,4973
800,6822,5169
800,6487,4927
800,6571,5059
800,6676,5041
800,6583,5044
800,5208,3974
800,6746,5141
800,6609,5010
800,6810,5189
800,6768,5161
800,6753,5164
800,6893,5252
800,6653,5059
800,6844,5214
800,6667,5095
800,6706,5126
800,6840,5202
800,6244,4800
800,6751,5144
800,6845,5252
800,6689,5069
800,6815,5229
800,6899,5247
800,6986,5399
800,6864,5328
800,6731,5120
800,6560,5002
800,6591,5077
800,6769,5205
800,6486,4944
800,6843,5240
800,6897,5267
800,6433,4915
800,6768,5228
800,7139,5534
800,6858,5267
800,6491,4992
800,6783,5213
800,6718,5171
800,6979,5355
800,6616,5084
800,6768,5230
800,6699,5166
800,6734,5142
800,6666,5113
800,6872,5273
800,6806,5197
800,6893,5261
800,6634,5076
800,6571,5047
800,6312,4801
800,6622,5060
800,6760,5131
800,6604,5010
800,6903,5328
800,6898,5342
800,6994,5359
800,7065,5494
800,6646,5090
800,7115,5516
800,6721,5238
800,6653,5109
800,6479,4927
800,6723,5220
800,6489,4951
800,6596,5044
800,7043,5502
800,6515,4992
800,6875,5234
800,6692,5128
800,6709,5189
800,6141,4659
800,6986,5431
800,6649,5059
800,6812,5217
800,6507,4984
800,6394,4878
800,6693,5107
800,6419,4881
800,6633,5115
900,7539,5724
900,7636,5769
900,7612,5785
900,7481,5672
900,7711,5959
900,7666,5810
900,7637,5853
900,7829,5955
900,7186,5446
900,7098,5438
900,7498,5710
900,7143,5440
900,7442,5678
900,7643,5827
900,7399,5680
900,7538,5723
900,7250,5534
900,7625,5812
900,7454,5664
900,7539,5751
900,7524,5748
900,7466,5690
900,7459,5642
900,7478,5702
900,7748,5914
900,6943,5335
900,7685,5854
900,7827,5973
900,7494,5723
900,7480,5704
900,7488,5711
900,7565,5827
900,7787,5957
900,7162,5497
900,7359,5665
900,7453,5708
900,7445,5683
900,7504,5769
900,7442,5679
900,7370,5586
900,7394,5618
900,7029,5368
900,7561,5785
900,7535,5799
900,7795,5979
900,7482,5709
900,7014,5407
900,7409,5654
900,7387,5667
900,7674,5870
900,7581,5844
900,7864,6073
900,7536,5775
900,7528,5760
900,7937,6132
900,7715,5917
900,7557,5803
900,7476,5699
900,7328,5588
900,7826,5995
900,7552,5764
900,7443,5699
900,7759,5924
900,7842,6030
900,7666,5885
900,8091,6250
900,7724,5925
900,7551,5705
900,7222,5549
900,7388,5607
900,7454,5707
900,7451,5660
900,7524,5815
900,7533,5768
900,7379,5569
900,7563,5753
900,7927,6138
900,7361,5657
900,7539,5781
900,7900,6112
900,7760,5946
900,7533,5787
900,7923,6125
900,7354,5617
900,7699,5923
900,7278,5547
900,7802,6049
900,7651,5912
900,7157,5486
900,7339,5599
900,7767,5995
900,7323,5612
900,7588,5841
900,7356,5647
900,7531,5796
900,7589,5816
900,7347,5639
900,7694,5929
900,7108,5485
900,7075,5386
1000,8351,6374
1000,8483,6488
1000,8402,6421
1000,8370,6376
1000,8450,6413
1000,8367,6372
1000,8380,6346
1000,8290,6303
1000,8113,6127
1000,8440,6467
1000,8401,6369
1000,8040,6115
1000,8315,6325
1000,8455,6475
1000,8415,6449
1000,8344,6354
1000,8319,6342
1000,8527,6504
1000,8300,6323
1000,7791,5954
1000,8613,6570
1000,8334,6353
1000,8496,6528
1000,8483,6500
1000,8442,6495
1000,8531,6536
1000,8552,6524
1000,8206,6289
1000,8516,6474
1000,7918,6050
1000,8118,6174
1000,8195,6345
1000,8505,6515
1000,8268,6341
1000,8607,6626
1000,8161,6231
1000,8429,6460
1000,8176,6244
1000,8507,6509
1000,8485,6467
1000,8223,6248
1000,8386,6366
1000,8305,6387
1000,8230,6336
1000,8328,6362
1000,8034,6115
1000,8707,6726
1000,8544,6534
1000,8412,6419
1000,8512,6513
1000,8231,6272
1000,8122,6260
1000,8541,6516
1000,8377,6410
1000,8477,6502
1000,8737,6726
1000,8361,6451
1000,8492,6556
1000,8806,6796
1000,8627,6666
1000,8726,6687
1000,8072,6179
1000,8735,6766
1000,8464,6482
1000,8612,6685
1000,8375,6416
1000,8475,6490
1000,8275,6343
1000,8527,6570
1000,8572,6585
1000,8701,6728
1000,8470,6501
1000,8607,6632
1000,8524,6568
1000,8749,6786
1000,8522,6577
1000,8528,6589
1000,8538,6584
1000,8700,6740
1000,8238,6322
1000,8746,6680
1000,8543,6580
1000,8711,6723
1000,7962,6123
1000,8818,6849
1000,7886,6058
1000,8029,6134
1000,8278,6362
1000,8453,6483
1000,8751,6774
1000,8148,6257
1000,8511,6547
1000,8724,6787
1000,8429,6538
1000,8511,6580
1000,8179,6236
1000,8613,6689
1000,8870,6836
1000,8579,6574
1000,8753,6784
1100,9446,7214
1100,8671,6619
1100,9161,6984
1100,9376,7112
1100,8756,6667
1100,9058,6914
1100,8909,6773
1100,9541,7331
1100,9408,7206
1100,9444,7218
1100,9198,7003
1100,8993,6862
1100,9123,6952
1100,9356,7172
1100,9627,7388
1100,8578,6542
1100,9052,6894
1100,8731,6673
1100,9180,7037
1100,9156,7007
1100,8724,6651
1100,9114,6966
1100,9268,7068
1100,9058,6889
1100,9330,7112
1100,9103,6918
1100,9789,7554
1100,9119,6929
1100,8892,6802
1100,9343,7150
1100,9459,7251
1100,9105,6960
1100,9111,7041
1100,9213,7031
1100,8931,6805
1100,8873,6791
1100,9384,7167
1100,9278,7103
1100,9334,7199
1100,9089,6965
1100,9235,7134
1100,9507,7293
1100,9445,7180
1100,9086,7010
1100,9398,7246
1100,9089,7002
1100,9518,7350
1100,9114,6986
1100,8894,6798
1100,9199,7044
1100,9516,7330
1100,9050,6865
1100,9433,7187
1100,8811,6813
1100,9382,7161
1100,8883,6765
1100,9253,7107
1100,9662,7464
1100,9015,6917
1100,9217,7045
1100,9286,7116
1100,9220,7115
1100,9650,7483
1100,9635,7426
1100,9459,7289
1100,9478,7261
1100,9254,7061
1100,9398,7279
1100,9230,7168
1100,9114,7022
1100,9463,7288
1100,9628,7379
1100,9747,7542
1100,9329,7157
1100,9585,7401
1100,9205,7045
1100,9146,7055
1100,9275,7071
1100,9556,7409
1100,9186,7106
1100,9057,6939
1100,9113,6981
1100,9245,7108
1100,9086,6918
