array_size,comparisons,swaps
100,800,501
100,847,545
100,822,506
100,859,514
100,832,508
100,632,390
100,700,419
100,648,407
100,729,440
100,807,500
100,681,419
100,685,425
100,884,553
100,795,490
100,708,449
100,686,449
100,876,555
100,809,489
100,760,480
100,661,409
100,743,472
100,747,470
100,758,485
100,708,450
100,760,452
100,808,500
100,774,504
100,710,436
100,745,451
100,761,475
100,785,471
100,768,468
100,823,521
100,672,423
100,647,389
100,798,510
100,669,417
100,900,539
100,647,397
100,790,485
100,770,493
100,813,487
100,821,512
100,727,461
100,725,450
100,774,488
100,660,405
100,723,455
100,767,466
100,771,465
100,750,461
100,866,537
100,360,224
100,800,504
100,850,541
100,808,492
100,784,483
100,661,384
100,772,488
100,676,426
100,773,477
100,810,507
100,806,498
100,916,591
100,762,452
100,792,480
100,695,433
100,806,499
100,770,497
100,767,475
100,625,380
100,787,497
100,780,495
100,624,385
100,826,509
100,819,501
100,761,467
100,726,461
100,754,464
100,675,415
100,766,482
100,698,436
100,722,446
100,735,484
100,760,489
100,657,409
100,677,424
100,792,499
100,644,400
100,793,494
100,736,470
100,726,454
100,739,488
100,742,454
100,697,430
100,683,422
100,658,406
100,730,465
100,716,433
200,1720,1070
200,1527,952
200,1809,1109
200,1703,1044
200,1811,1132
200,1582,1008
200,1857,1164
200,1714,1055
200,1620,1032
200,1708,1074
200,1353,835
200,1725,1087
200,1627,999
200,1637,1029
200,1682,1067
200,1826,1130
200,1518,934
200,1595,997
200,1705,1085
200,1759,1068
200,1761,1101
200,1661,1029
200,1613,1008
200,1756,1080
200,1893,1168
200,1639,1000
200,1290,833
200,1716,1074
200,1746,1082
200,1332,850
200,1701,1071
200,1411,899
200,1849,1143
200,1548,966
200,1701,1078
200,1515,907
200,1745,1109
200,1725,1071
200,1641,1036
200,1782,1130
200,1655,1031
200,1628,1000
200,1656,1021
200,1825,1110
200,1330,848
200,1489,925
200,1765,1088
200,1574,988
200,1675,1043
200,969,624
200,1706,1087
200,1501,944
200,1637,1034
200,1853,1138
200,1745,1113
200,1782,1129
200,1772,1129
200,1660,1042
200,1795,1139
200,1656,1045
200,1639,1025
200,1729,1085
200,1536,951
200,1776,1111
200,1673,1053
200,1569,989
200,1806,1118
200,1721,1087
200,1711,1093
200,1470,925
200,1678,1033
200,1608,1001
200,1740,1084
200,1826,1155
200,1610,976
200,1703,1038
200,1369,885
200,1745,1104
200,1647,1022
200,1522,972
200,1605,1003
200,1653,1031
200,1553,961
200,1651,1035
200,1534,958
200,1469,916
200,1650,1026
200,1677,1070
200,1582,972
200,1519,982
200,1731,1094
200,1555,966
200,1619,1014
200,1644,1050
200,1649,1048
200,1442,893
200,1638,1019
200,1510,953
200,1632,1027
200,1716,1076
300,2858,1819
300,2284,1441
300,2780,1727
300,2573,1634
300,2716,1694
300,2877,1822
300,2654,1671
300,2745,1691
300,2673,1673
300,2679,1655
300,2750,1761
300,2801,1738
300,2602,1614
300,2619,1646
300,2504,1541
300,2400,1515
300,2726,1702
300,2586,1611
300,2731,1739
300,2708,1682
300,2594,1625
300,2144,1351
300,2434,1524
300,2449,1502
300,2280,1446
300,2820,1769
300,2726,1720
300,2623,1660
300,2343,1475
300,2839,1761
300,2344,1511
300,2703,1650
300,2778,1764
300,2351,1472
300,2584,1623
300,2281,1426
300,2363,1505
300,2822,1747
300,2487,1553
300,2614,1675
300,2310,1466
300,2623,1662
300,2608,1627
300,2688,1706
300,2676,1619
300,2452,1564
300,2618,1610
300,2556,1608
300,2664,1666
300,2830,1790
300,1464,923
300,2313,1471
300,2854,1791
300,2780,1724
300,2615,1660
300,2623,1601
300,2718,1723
300,2425,1538
300,2644,1637
300,2288,1446
300,2356,1491
300,2795,1767
300,2631,1675
300,2537,1601
300,2628,1647
300,2390,1527
300,2646,1635
300,2224,1425
300,2655,1683
300,2743,1735
300,2765,1725
300,2451,1559
300,2468,1562
300,2524,1582
300,2274,1466
300,2578,1608
300,2632,1678
300,2477,1562
300,2194,1379
300,2595,1600
300,2319,1442
300,2516,1553
300,2571,1613
300,2655,1668
300,2637,1615
300,2568,1634
300,2173,1372
300,2698,1718
300,2459,1570
300,2379,1502
300,2460,1565
300,2402,1522
300,2481,1589
300,2566,1601
300,2499,1583
300,2510,1567
300,2656,1677
300,2144,1347
400,3696,2356
400,3793,2413
400,3610,2275
400,3701,2321
400,3638,2264
400,2813,1772
400,3128,1966
400,3211,2026
400,3471,2169
400,3717,2314
400,3357,2097
400,3027,1895
400,3784,2380
400,3705,2334
400,3565,2245
400,3657,2282
400,3583,2218
400,3763,2342
400,3690,2378
400,3600,2255
400,3755,2395
400,3482,2169
400,3534,2215
400,3636,2279
400,3663,2283
400,3505,2212
400,3521,2203
400,3434,2174
400,3550,2222
400,3319,2075
400,3321,2097
400,3505,2167
400,3605,2263
400,3680,2274
400,3556,2225
400,3633,2255
400,3564,2264
400,3399,2153
400,3638,2255
400,3241,2057
400,3330,2136
400,3547,2227
400,3685,2348
400,3592,2273
400,3790,2355
400,3790,2426
400,3576,2232
400,3634,2252
400,3730,2378
400,3549,2255
400,3274,2053
400,3366,2119
400,3586,2224
400,3120,1990
400,3659,2267
400,3698,2359
400,3561,2219
400,2743,1756
400,3432,2176
400,3778,2397
400,3499,2225
400,3615,2313
400,3585,2270
400,3034,1947
400,3573,2263
400,3564,2256
400,3628,2296
400,3543,2246
400,3637,2258
400,3512,2201
400,3601,2272
400,3157,2029
400,3533,2227
400,3599,2297
400,3003,1883
400,3655,2322
400,3750,2352
400,3681,2332
400,3394,2138
400,3539,2243
400,3652,2280
400,3677,2342
400,3050,1920
400,3504,2213
400,3600,2265
400,3657,2310
400,3541,2239
400,3443,2173
400,3190,2056
400,3411,2117
400,3659,2318
400,3322,2135
400,3357,2138
500,4774,3018
500,4285,2700
500,4820,3024
500,4073,2539
500,4638,2878
500,4671,2937
500,3882,2417
500,4612,2839
500,4592,2930
500,4766,2993
500,4759,3010
500,4682,2908
500,3867,2451
500,4667,2921
500,4770,3003
500,4295,2711
500,3867,2425
500,4340,2757
500,4540,2878
500,4676,2950
500,4615,2894
500,4381,2752
500,4580,2879
500,4630,2938
500,4652,2950
500,4661,2918
500,4395,2750
500,4341,2800
500,4841,3032
500,4577,2912
500,4474,2861
500,4491,2819
500,4267,2680
500,4475,2843
500,4780,3046
500,4503,2839
500,4281,2680
500,4509,2856
500,4487,2871
500,4638,2960
500,4622,2893
500,3692,2348
500,4690,2942
500,4529,2837
500,4618,2880
500,4706,2980
500,4668,2933
500,4778,3032
500,3824,2387
500,4742,2972
500,4842,3044
500,4772,2976
500,4569,2882
500,4488,2832
500,4453,2842
500,4612,2961
500,4838,3057
500,4615,2883
500,4521,2880
500,4479,2852
500,3726,2351
500,4408,2843
500,3904,2485
500,4198,2660
500,4557,2893
500,4524,2868
500,4734,2952
500,4616,2933
500,4518,2881
500,4478,2831
500,4330,2766
500,4401,2762
500,4508,2885
500,4167,2623
500,4585,2872
500,4757,3011
500,4464,2853
500,4782,3002
500,4158,2594
500,4277,2731
500,4469,2884
500,4404,2809
500,4668,2952
500,4485,2807
500,4582,2871
500,4592,2868
500,4540,2858
500,3995,2545
500,4624,2939
500,4294,2759
500,4486,2856
500,4231,2649
500,4540,2860
500,4495,2876
600,5719,3577
600,5608,3515
600,5398,3432
600,5760,3659
600,5542,3523
600,4599,2940
600,5482,3464
600,5612,3525
600,5502,3464
600,5858,3694
600,4994,3145
600,5906,3722
600,5688,3593
600,5816,3623
600,4782,3009
600,5367,3415
600,4742,2982
600,4813,3078
600,5905,3676
600,5499,3438
600,5539,3486
600,5906,3781
600,5645,3555
600,5438,3449
600,5455,3461
600,5519,3501
600,5677,3548
600,4925,3112
600,5426,3417
600,5286,3332
600,5608,3527
600,5760,3636
600,5374,3424
600,4684,2928
600,5270,3325
600,5613,3496
600,5062,3185
600,5372,3431
600,5418,3489
600,5473,3428
600,4821,3088
600,5581,3527
600,5204,3254
600,5309,3331
600,5847,3742
600,5763,3638
600,5363,3391
600,5077,3210
600,5268,3338
600,5607,3526
600,4855,3099
600,5470,3462
600,5618,3571
600,5363,3469
600,5344,3390
600,5540,3496
600,5494,3516
600,5464,3505
600,4802,3033
600,5402,3365
600,5671,3586
600,5124,3244
600,4962,3087
600,5580,3533
600,5168,3251
600,5649,3619
600,5134,3241
600,5374,3357
600,5457,3431
600,5055,3166
600,5676,3562
600,5222,3326
600,5171,3267
600,5336,3398
600,5373,3458
600,5269,3293
600,5825,3682
600,5656,3644
600,5340,3367
600,5086,3259
600,5629,3541
600,5621,3597
600,5236,3320
600,5383,3418
600,4961,3157
600,4596,2954
600,5523,3546
600,5544,3529
600,5176,3242
600,5609,3605
600,5806,3700
600,5644,3507
600,5582,3541
600,5196,3318
600,5411,3426
600,5641,3554
600,5523,3550
600,5557,3572
600,5603,3526
600,5636,3569
700,5987,3759
700,6818,4350
700,6672,4212
700,6582,4160
700,6652,4136
700,6700,4209
700,6725,4213
700,6302,3945
700,6754,4278
700,6742,4242
700,6713,4252
700,6819,4311
700,6666,4162
700,6864,4227
700,6604,4188
700,5590,3473
700,6655,4196
700,6303,3953
700,7014,4377
700,6887,4338
700,6396,4056
700,6537,4124
700,6691,4167
700,6847,4326
700,6719,4225
700,6555,4114
700,6368,4007
700,6036,3791
700,6243,3964
700,6525,4091
700,5921,3734
700,6593,4192
700,5590,3554
700,5830,3681
700,6735,4225
700,6517,4115
700,6307,3985
700,6871,4288
700,6416,4061
700,6150,3906
700,6262,3947
700,6543,4112
700,5632,3550
700,6471,4106
700,6457,4073
700,6559,4109
700,6254,3925
700,6253,3980
700,6242,3967
700,6271,4013
700,6137,3873
700,6678,4269
700,6703,4255
700,6550,4130
700,6215,3982
700,6510,4116
700,6949,4389
700,6802,4236
700,6587,4200
700,6779,4285
700,5345,3403
700,6525,4101
700,6791,4287
700,6641,4184
700,6654,4234
700,6934,4346
700,6254,3980
700,6635,4228
700,6698,4210
700,5587,3583
700,6615,4173
700,6120,3844
700,5616,3559
700,6499,4092
700,6578,4102
700,6628,4190
700,6489,4137
700,6851,4295
700,6774,4243
700,5651,3526
700,6674,4223
700,5711,3657
700,5265,3374
700,6593,4203
700,5945,3807
700,5898,3743
700,6297,3964
700,6725,4286
