array_size,comparisons,swaps
100,199,27
100,175,32
100,128,17
100,334,63
100,261,33
100,130,13
100,344,52
100,239,43
100,234,37
100,190,28
100,165,31
100,234,40
100,356,57
100,349,51
100,342,52
100,301,35
100,397,57
100,257,50
100,305,61
100,511,73
100,242,33
100,353,52
100,318,59
100,352,68
100,338,58
100,218,36
100,244,44
100,263,55
100,207,34
100,358,57
100,198,41
100,451,65
100,216,47
100,295,63
100,479,61
100,489,70
100,348,60
100,277,58
100,413,61
100,402,74
100,312,55
100,283,60
100,371,68
100,239,60
100,346,49
100,102,28
100,483,59
100,242,40
100,273,43
100,289,58
100,237,50
100,569,74
100,340,56
100,216,47
100,215,46
100,273,41
100,243,50
100,261,46
100,440,68
100,204,35
100,284,51
100,279,40
100,384,57
100,283,64
100,369,62
100,307,52
100,263,45
100,328,43
100,282,41
100,196,39
100,301,53
100,357,42
100,195,22
100,243,46
100,237,45
100,218,47
100,310,60
100,305,51
100,280,51
100,191,33
100,388,66
100,383,67
100,338,53
100,212,43
100,232,28
100,250,54
100,320,54
100,180,26
100,167,22
100,383,56
100,201,39
100,216,43
100,194,42
100,430,59
100,261,48
100,233,25
100,167,31
100,186,46
200,384,78
200,310,66
200,316,54
200,424,35
200,261,53
200,474,100
200,621,85
200,492,102
200,334,74
200,320,47
200,615,125
200,460,65
200,772,130
200,345,50
200,347,70
200,562,112
200,914,121
200,470,105
200,856,131
200,524,94
200,837,135
200,660,107
200,658,103
200,926,123
200,430,61
200,367,48
200,397,54
200,838,131
200,1111,129
200,677,127
200,822,123
200,367,75
200,492,107
200,481,103
200,879,152
200,755,122
200,557,121
200,696,126
200,468,105
200,719,122
200,661,118
200,742,141
200,734,127
200,362,62
200,452,80
200,630,120
200,716,129
200,809,136
200,582,112
200,349,75
200,523,105
200,941,128
200,847,112
200,499,103
200,944,131
200,693,111
200,546,118
200,651,94
200,620,132
200,480,121
200,899,144
200,764,128
200,711,123
200,681,115
200,544,91
200,555,78
200,757,97
200,588,125
200,497,102
200,1016,104
200,299,54
200,473,92
200,444,85
200,659,122
200,580,108
200,619,111
200,430,84
200,748,125
200,561,90
200,799,117
200,772,118
200,262,43
200,982,138
200,1118,141
200,883,116
200,864,128
200,629,68
200,665,63
200,767,115
200,342,51
200,704,106
200,545,102
200,401,104
200,410,64
200,272,41
200,498,99
