array_size,comparisons,time
1000,20,0
1000,19,0
1000,19,0
1000,17,0
1000,13,0
1000,11,0
1000,20,0
1000,13,0
1000,20,0
1000,20,0
1000,13,0
1000,20,0
1000,17,0
1000,11,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,15,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,17,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,11,0
1000,20,0
1000,20,0
1000,19,0
1000,15,0
1000,20,0
1000,20,0
1000,17,0
1000,20,0
1000,19,0
1000,20,0
1000,17,0
1000,20,0
1000,20,0
1000,15,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,15,0
1000,20,0
1000,13,0
1000,13,0
1000,20,0
1000,20,0
1000,17,0
1000,15,0
1000,17,0
1000,20,0
1000,20,0
1000,20,0
1000,19,0
1000,19,0
1000,9,0
1000,17,0
1000,19,0
1000,20,0
1000,19,0
1000,20,0
1000,19,0
1000,20,0
1000,20,0
1000,15,0
1000,20,0
1000,15,0
1000,20,0
1000,17,0
1000,19,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,20,0
1000,17,0
1000,15,0
1000,20,0
1000,11,0
1000,20,0
1000,20,0
1000,19,0
1000,20,0
1000,19,0
1000,20,0
1000,20,0
1000,20,0
1000,15,0
1000,20,0
1000,20,0
1000,20,0
2000,19,0
2000,22,0
2000,21,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,19,0
2000,22,0
2000,22,0
2000,15,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,22,0
2000,21,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,17,0
2000,22,0
2000,22,0
2000,22,0
2000,22,0
2000,15,0
2000,17,0
2000,19,0
2000,17,0
2000,22,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,21,0
2000,21,0
2000,19,0
2000,22,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,19,0
2000,21,0
2000,22,0
2000,22,0
2000,19,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,22,0
2000,19,0
2000,15,0
2000,22,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,19,0
2000,19,0
2000,22,0
2000,13,0
2000,22,0
2000,22,0
2000,22,0
2000,13,0
2000,17,0
2000,17,0
2000,22,0
2000,22,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,22,0
2000,22,0
2000,17,0
2000,22,0
2000,19,0
2000,22,0
2000,21,0
2000,22,0
2000,22,0
2000,21,0
2000,22,0
2000,19,0
2000,22,0
2000,21,0
2000,17,0
3000,24,0
3000,24,0
3000,21,0
3000,23,0
3000,24,0
3000,24,0
3000,24,0
3000,21,0
3000,24,0
3000,21,0
3000,23,0
3000,19,0
3000,22,0
3000,23,0
3000,23,0
3000,24,0
3000,22,0
3000,23,0
3000,24,0
3000,24,0
3000,22,0
3000,22,0
3000,22,0
3000,24,0
3000,24,0
3000,22,0
3000,24,0
3000,17,0
3000,24,0
3000,23,0
3000,21,0
3000,22,0
3000,22,0
3000,22,0
3000,23,0
3000,24,0
3000,17,0
3000,24,0
3000,21,0
3000,24,0
3000,24,0
3000,22,0
3000,24,0
3000,19,0
3000,19,0
3000,24,0
3000,19,0
3000,24,0
3000,21,0
3000,24,0
3000,24,0
3000,24,0
3000,23,0
3000,24,0
3000,21,0
3000,22,0
3000,22,0
3000,23,0
3000,24,0
3000,24,0
3000,24,0
3000,24,0
3000,24,0
3000,15,0
3000,19,0
3000,17,0
3000,23,0
3000,23,0
3000,22,0
3000,24,0
3000,19,0
3000,22,0
3000,24,0
3000,24,0
3000,23,0
3000,22,0
3000,24,0
3000,15,0
3000,24,0
3000,24,0
3000,22,0
3000,24,0
3000,21,0
3000,24,0
3000,21,0
3000,22,0
3000,24,0
3000,21,0
3000,24,0
3000,23,0
3000,24,0
3000,24,0
3000,24,0
3000,21,0
3000,24,0
3000,22,0
3000,24,0
3000,24,0
3000,24,0
3000,23,0
4000,23,0
4000,24,0
4000,23,0
4000,24,0
4000,24,0
4000,24,0
4000,23,0
4000,23,0
4000,21,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,21,0
4000,19,0
4000,24,0
4000,24,0
4000,21,0
4000,24,0
4000,24,0
4000,23,0
4000,24,0
4000,21,0
4000,21,0
4000,24,0
4000,24,0
4000,24,0
4000,21,0
4000,19,0
4000,24,0
4000,13,0
4000,23,0
4000,11,0
4000,19,0
4000,24,0
4000,23,0
4000,24,0
4000,17,0
4000,24,0
4000,21,0
4000,24,0
4000,24,0
4000,21,0
4000,23,0
4000,24,0
4000,24,0
4000,24,0
4000,19,0
4000,23,0
4000,24,0
4000,17,0
4000,24,0
4000,24,0
4000,17,0
4000,17,0
4000,23,0
4000,21,0
4000,24,0
4000,24,0
4000,23,0
4000,24,0
4000,24,0
4000,21,0
4000,24,0
4000,19,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,21,0
4000,24,0
4000,21,0
4000,21,0
4000,24,0
4000,23,0
4000,24,0
4000,24,0
4000,24,0
4000,17,0
4000,23,0
4000,21,0
4000,23,0
4000,19,0
4000,24,0
4000,24,0
4000,24,0
4000,23,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
4000,24,0
5000,26,0
5000,24,0
5000,9,0
5000,26,0
5000,26,0
5000,21,0
5000,25,0
5000,26,0
5000,24,0
5000,26,0
5000,26,0
5000,21,0
5000,15,0
5000,26,0
5000,24,0
5000,19,0
5000,26,0
5000,19,0
5000,24,0
5000,23,0
5000,24,0
5000,24,0
5000,25,0
5000,19,0
5000,25,0
5000,24,0
5000,24,0
5000,26,0
5000,23,0
5000,24,0
5000,26,0
5000,23,0
5000,26,0
5000,24,0
5000,19,0
5000,24,0
5000,23,0
5000,24,0
5000,23,0
5000,26,0
5000,24,0
5000,24,0
5000,24,0
5000,19,0
5000,21,0
5000,21,0
5000,26,0
5000,26,0
5000,26,0
5000,21,0
5000,25,0
5000,26,0
5000,24,0
5000,25,0
5000,24,0
5000,26,0
5000,26,0
5000,21,0
5000,24,0
5000,24,0
5000,24,0
5000,26,0
5000,17,0
5000,26,0
5000,26,0
5000,21,0
5000,24,0
5000,23,0
5000,23,0
5000,24,0
5000,17,0
5000,26,0
5000,24,0
5000,24,0
5000,23,0
5000,24,0
5000,24,0
5000,24,0
5000,24,0
5000,24,0
5000,24,0
5000,24,0
5000,26,0
5000,24,0
5000,26,0
5000,24,0
5000,25,0
5000,26,0
5000,26,0
5000,19,0
5000,24,0
5000,26,0
5000,21,0
5000,19,0
5000,26,0
6000,21,0
6000,24,0
6000,19,0
6000,25,0
6000,21,0
6000,19,0
6000,26,0
6000,26,0
6000,24,0
6000,25,0
6000,21,0
6000,26,0
