array_size,comparisons,swaps
100,771,404
100,1094,442
100,1031,435
100,939,577
100,924,515
100,807,469
100,821,434
100,710,440
100,1059,428
100,908,436
100,997,547
100,875,482
100,1162,531
100,933,511
100,687,437
100,992,429
100,951,515
100,849,517
100,945,471
100,958,415
100,1038,478
100,806,424
100,719,439
100,976,449
100,1024,546
100,733,443
100,958,502
100,721,437
100,862,549
100,850,539
100,997,471
100,757,410
100,1117,454
100,1063,421
100,1031,430
100,865,448
100,969,440
100,859,478
100,723,419
100,878,415
100,869,457
100,843,409
100,862,488
100,811,415
100,979,521
100,771,383
100,761,453
100,1042,576
100,837,402
100,887,441
100,980,540
100,950,427
100,922,529
100,826,444
100,826,422
100,759,435
100,1020,411
100,1030,450
100,840,371
100,790,481
100,812,456
100,1164,596
100,703,431
100,844,427
100,942,455
100,889,460
100,838,440
100,1005,539
100,835,413
100,945,366
100,917,401
100,896,470
100,883,478
100,867,474
100,930,392
100,1264,541
100,810,442
100,885,368
100,1132,521
100,962,618
100,1016,486
100,916,406
100,937,549
100,866,455
100,977,494
100,833,507
100,849,390
100,839,413
100,1004,612
100,955,459
100,900,570
100,1082,417
100,997,487
100,813,383
100,845,467
100,922,478
100,768,478
100,852,474
100,859,408
100,1050,528
100,918,445
200,1905,960
200,2018,1073
200,2088,953
200,2012,926
200,2659,1107
200,2664,1251
200,1994,1026
200,2312,1164
200,2206,1124
200,2002,1012
200,2545,1014
200,1876,945
200,1997,1002
200,1870,994
200,1803,962
200,2108,1156
200,2167,1220
200,1966,1025
200,1768,1004
200,2550,1068
200,2157,947
200,2203,1050
200,2446,1427
200,2170,1142
200,2236,1083
200,2133,938
200,2307,1091
200,2266,1064
200,2163,1046
200,1849,1006
200,2788,1040
200,2236,907
200,2507,1066
200,2198,1162
200,1825,903
200,2011,1067
200,1764,898
200,1983,962
200,1940,980
200,2287,910
200,1989,1103
200,2541,1316
200,2334,1096
200,1966,944
200,2096,1093
200,2384,1062
200,2223,1053
200,2184,1247
200,2209,1093
200,2060,953
200,2280,1041
200,2085,955
200,2327,1142
200,2189,1305
200,2258,951
200,2093,1176
200,1835,1007
200,2496,1314
200,1912,977
200,1710,949
200,2274,1051
200,2168,934
200,2225,1011
200,2581,1393
200,2234,1116
200,2082,979
200,2379,1134
200,2175,1132
200,2599,1116
200,2000,987
200,1935,954
200,2433,1309
200,2141,1149
200,2207,925
200,2081,1036
200,2033,963
200,2428,1019
200,2047,1122
200,2413,961
200,2392,1282
200,1972,993
200,2042,1051
200,2069,1063
200,2285,1138
200,1705,889
200,2318,1139
200,2482,1212
200,1918,1062
200,2057,930
200,2285,943
200,1992,1051
200,2273,1162
200,2096,935
200,2185,1108
200,2231,968
200,1898,1030
200,2139,1057
200,2798,924
200,2231,1040
300,3187,1535
300,3450,1645
300,3970,1758
300,4472,1914
300,3305,1736
300,2958,1525
300,4149,1792
300,3316,1818
300,3085,1554
300,3710,1723
300,3693,1788
300,3475,1591
300,3788,1964
300,3866,1685
300,3468,1777
300,3728,1628
300,4604,1447
300,3598,1656
300,3921,1807
300,3347,1839
300,3575,2050
300,3357,1518
300,4394,1770
300,3562,1846
300,3817,1952
300,3626,1812
300,3640,1623
300,3824,1569
300,3443,1697
300,3795,1613
300,3613,1779
300,4326,1649
300,3496,1593
300,3595,1632
300,3895,1549
300,3036,1641
300,3522,1929
300,3172,1529
300,3559,1635
300,3542,1780
300,3890,1667
300,3771,1636
300,3488,1596
300,3710,1399
300,3213,1554
300,4038,1848
300,2982,1583
300,3694,1633
300,3056,1728
300,3603,1697
300,3309,1751
300,3800,1617
300,3868,1546
300,3459,1656
300,3752,1624
300,3451,1757
300,3697,1675
300,5137,1911
300,3192,1694
300,4441,1773
300,3398,1745
300,3583,1549
300,4130,1663
300,3746,1719
300,4207,2034
300,3359,1727
300,3548,1772
300,3682,2037
300,3588,1528
300,3392,1664
300,4730,2021
300,3178,1715
300,4035,1547
300,3437,1714
300,4575,1854
300,3910,1583
300,3801,1717
300,4274,1923
300,3411,1643
300,4265,1669
300,3267,1552
300,4088,1868
300,3324,1653
300,3591,1671
300,3422,1607
300,3792,1762
300,3440,1520
300,3947,1859
300,3716,1690
300,3298,1523
300,3892,1861
300,3833,1923
300,4672,1616
300,3545,1577
300,4055,1934
300,2964,1446
300,3793,1759
300,4015,1853
300,3387,1709
300,3774,1743
300,3475,1685
400,5471,2864
400,5214,2101
400,5213,2408
400,5357,2829
400,4555,2527
400,5131,2250
400,4900,2234
400,5750,2532
400,4746,2174
400,5053,2206
400,4918,2208
400,4326,2189
400,4700,2324
400,5082,2645
400,4908,2341
400,4274,2197
400,4578,2425
400,4993,2466
400,5060,2056
400,5511,2378
400,5811,2654
400,6680,2503
400,5048,2253
400,5416,2453
400,4918,2356
400,5452,2685
400,4746,2180
400,4476,2328
400,5263,2570
400,4716,2286
400,4731,2251
400,5060,2299
400,5094,2079
400,5110,2273
400,5396,2221
400,5351,2423
400,4507,2257
400,5765,2728
400,4469,2089
400,5161,2540
400,5912,2727
400,4794,2366
400,5520,2744
400,5444,2705
400,5135,2414
400,5465,2297
400,5133,2040
400,5033,2502
400,5436,2539
400,4864,2424
400,5175,2600
400,5889,2600
400,5186,2567
400,4921,2326
400,5699,2442
400,4645,2258
400,5095,2397
400,5992,2566
400,5067,2220
400,5106,2414
400,5379,2357
400,4493,2087
400,5074,2111
400,5941,2093
400,5108,2246
400,6212,2817
400,5819,2086
400,4376,2248
400,5765,2219
400,4541,2211
400,4994,2633
400,5572,2517
400,4925,2269
400,5753,2376
400,5763,3227
400,4283,2368
400,5701,2320
400,5403,2663
400,4943,2249
400,5237,2352
400,5228,2507
400,5658,2631
400,4614,2309
400,5267,2166
400,4789,2263
400,5597,2168
400,5581,2046
400,5287,2223
400,4636,2356
400,5039,2079
400,5371,2277
400,4629,2309
400,5106,2208
400,4816,2234
400,5291,2616
400,5421,2325
400,5205,2277
400,6573,2680
400,5089,2189
400,4935,2618
400,5290,2643
500,7116,3009
500,6605,2737
500,7580,3117
500,8331,2760
500,7502,3144
500,6870,3215
500,6920,3353
500,8462,3458
500,6715,3054
500,9048,2794
500,6276,2971
500,7329,2753
500,6154,2919
500,7339,3260
500,6866,3241
500,6651,2769
500,7089,3148
500,6346,2748
500,6536,2900
500,8425,3016
500,6929,2824
500,6373,2966
500,8339,2980
500,6870,2934
500,6943,3188
500,6824,2989
500,6539,3326
500,6027,2874
500,7110,2754
500,6410,3012
500,6245,2844
500,6146,2910
500,6786,3135
500,6740,3213
500,7715,3200
500,6843,3256
500,6450,3106
500,6256,2829
500,6912,2684
500,6146,2835
500,6974,3276
500,7319,2943
500,6997,3043
500,6347,2940
500,7426,3363
500,6351,2841
500,6715,3048
500,7829,2965
500,6243,2619
500,7225,3125
500,5953,2938
500,6716,2908
500,6442,3179
500,5893,3219
500,6106,2793
500,6694,2950
500,7173,3124
500,6145,3240
500,6001,2938
500,7662,3298
500,6945,3177
500,7246,2808
500,6389,3084
500,7637,3696
500,7247,2867
500,6393,3040
500,6156,2862
500,7577,2923
500,7706,3088
500,6524,3155
500,5752,2928
500,6805,3207
500,6491,2828
500,7223,3403
500,6656,3366
500,6081,3000
500,6815,2897
500,6658,3298
500,6942,3482
500,6788,3283
500,6630,2820
500,7676,3187
500,7262,3088
500,6692,2885
500,7128,3155
500,7364,3312
500,7268,3025
500,6729,3270
500,6438,2843
500,7249,3216
500,6599,3127
500,7212,3267
500,8369,3702
500,6135,2790
500,8170,2925
500,8361,3476
500,7455,3338
500,6412,3539
500,6541,3153
500,6499,2999
500,6736,2889
600,8367,4359
600,9367,3667
600,7341,3528
600,9059,4129
600,8273,3908
600,8064,3516
600,8331,4098
600,7825,3635
600,9311,4005
600,9210,3947
600,8279,4019
600,9076,3518
600,9049,3609
600,8829,3507
600,8406,4096
600,7998,3458
600,8747,3632
600,9964,3933
600,7788,3870
600,7728,3343
600,8378,4032
600,8816,3402
600,8850,4183
600,7887,3281
600,8616,3881
600,9520,3757
600,8315,3580
600,8236,3491
600,8131,3610
600,9162,4274
600,7360,3706
600,8201,3364
600,7785,3722
600,8368,3930
600,8111,3675
600,8913,3457
600,9981,4496
600,10104,4274
600,8048,3963
600,8887,4077
600,8009,3486
600,7299,3268
600,8496,4269
600,8898,3436
600,9340,4247
600,8907,3618
600,8616,3903
600,9251,3893
600,8463,4610
600,8968,4042
600,7825,3260
600,8692,3749
600,8074,3475
600,8913,4287
600,8608,4137
600,9262,3707
600,8697,3483
600,8297,3620
600,8038,3677
600,8791,3755
600,8296,4027
600,9003,3853
600,8235,4293
600,8442,4082
600,9433,3734
600,9800,4088
600,8335,3639
600,8634,3511
600,9431,4975
600,7882,3410
600,8440,3834
600,8020,3672
600,9026,4137
600,7296,3338
600,7520,3216
600,7568,3489
600,8130,3471
600,8556,3588
600,8999,4211
600,8710,4180
600,8261,3814
600,8226,4124
600,7789,3683
600,7549,3382
600,8700,3985
600,8719,3618
600,8137,4288
600,7799,3686
600,8592,3968
600,8424,3301
600,8588,3771
600,8255,3913
600,8032,3816
600,8370,3963
600,9373,4033
600,8316,3877
600,7968,3505
600,9610,3694
600,9094,4626
600,9500,4699
600,8827,3779
700,10319,4966
700,10024,4694
700,10699,4426
700,9700,4544
700,9599,4600
700,9899,4685
700,10424,4766
700,10581,4330
700,9875,4671
700,9988,4667
700,10701,4493
700,10482,4573
700,10554,5051
700,9856,4952
700,9728,4433
700,10919,4069
700,9963,4300
700,10259,4628
700,9849,4336
700,9905,4313
700,9437,4493
700,9461,3990
700,9967,5398
700,10383,4088
700,9252,4577
700,9828,4652
700,9134,4444
700,11216,4747
700,10568,4861
700,11543,5414
700,10569,4507
700,11217,4586
700,9565,4536
700,10140,4314
700,10489,4803
700,10113,4939
700,11913,3981
700,12501,4859
700,11250,4465
700,12589,4638
700,10968,4244
700,10676,4413
700,9663,4303
700,9779,4355
700,10138,5419
700,9730,4234
700,11969,5212
700,10197,4518
700,9632,4298
700,9661,4276
700,9243,4357
700,8598,3840
700,9520,4447
700,11921,4943
700,10108,4075
700,9591,4542
700,9829,4446
700,10537,4495
700,13467,4220
700,9836,4665
700,10545,4788
700,9642,4583
700,9923,4164
700,8902,4283
700,10631,4145
700,9408,4355
700,10114,4463
700,10312,4786
700,10723,4504
700,8778,3984
700,11790,4987
700,10231,4738
700,11374,4438
700,9700,4673
700,12263,5573
700,11222,4307
700,10516,4945
700,9390,4445
700,9817,4195
700,10835,4959
700,11159,5348
700,10051,4320
700,10236,4768
700,9496,4391
700,10956,4435
700,10518,4315
700,9793,4587
700,13201,4389
700,10745,4534
700,11447,4307
700,9872,5058
700,10561,5444
700,10349,4582
700,11173,4675
700,10126,4636
700,10358,4262
700,10134,4431
700,10422,5050
700,9319,4308
700,9684,4331
700,10399,4862
800,12436,5613
800,11082,5837
800,13571,4903
800,13548,5010
800,11575,5081
800,12937,5064
800,13118,5638
800,12310,4600
800,12338,4882
800,11461,5280
800,11803,5964
800,11079,5061
800,11108,5074
800,12491,5048
800,10978,5355
800,11426,5372
800,11435,5651
800,13453,5513
800,10535,4976
800,11635,5489
800,13237,5331
800,10253,4791
800,13814,5134
800,11898,5543
800,10908,5031
800,11619,5426
800,13335,6069
800,11537,5042
800,11345,5229
800,12732,6000
800,12260,5702
800,11246,5122
800,12181,5772
800,11614,4974
800,11826,5802
800,11202,5096
800,11378,4932
800,12921,5900
800,12171,5010
800,11981,5437
800,12255,5572
800,11582,5705
800,12657,5902
800,10271,4983
800,11331,5139
800,11592,5125
800,13581,6484
800,12052,4873
800,10955,5138
800,11530,5038
800,12718,5526
800,14287,5573
800,12664,5757
800,11966,5478
800,12995,6627
800,13616,5356
800,11481,4941
800,12758,6152
800,11611,5085
800,11406,5015
800,11252,5214
800,12947,6198
800,11602,5936
800,12261,4985
800,11628,4721
800,10960,4968
800,11829,4946
800,12929,5688
800,12938,5555
800,10951,5294
800,11544,4834
800,11347,5437
800,11936,5232
800,13648,5141
800,12680,5396
800,10983,5341
800,12399,5341
800,12766,5081
800,12260,5274
800,10864,4974
800,11850,4683
800,12290,5053
800,11216,5286
800,12561,4991
800,11276,5217
800,11670,5166
800,11583,6230
800,12685,5650
800,12842,5289
