array_size,comparisons,swaps
100,3047,194
100,2895,213
100,2877,226
100,2883,223
100,3109,200
100,2692,236
100,2817,224
100,2603,205
100,2952,212
100,2618,234
100,2932,226
100,2453,218
100,2906,211
100,2717,228
100,2935,215
100,2820,216
100,2881,228
100,2914,219
100,2888,216
100,2987,210
100,2914,212
100,2639,229
100,2800,218
100,2989,216
100,2886,220
100,2940,211
100,2862,219
100,2965,224
100,2597,215
100,2534,210
100,2838,227
100,2784,219
100,2741,212
100,2832,219
100,2672,221
100,3128,224
100,3077,194
100,3006,210
100,2717,218
100,2743,236
100,3183,220
100,2838,212
100,3087,210
100,2801,209
100,2833,226
100,2957,217
100,2746,220
100,3223,240
100,2680,214
100,2611,219
100,2691,185
100,2669,211
100,2554,223
100,3168,203
100,2871,215
100,2801,243
100,3031,224
100,2718,202
100,3087,223
100,2914,223
100,3084,207
100,3073,215
100,2888,242
100,2905,227
100,2981,227
100,3169,214
100,2839,211
100,3156,234
100,2997,218
100,2457,215
100,3297,208
100,2934,248
100,3254,233
100,2844,215
100,2607,209
100,3246,231
100,2859,239
100,2956,213
100,2808,223
100,2824,212
100,2929,241
100,2941,203
100,3046,207
100,2849,207
100,2675,214
100,2832,223
100,2970,212
100,2783,222
100,2956,195
100,2847,195
100,3129,208
100,2792,217
100,2540,216
100,2552,217
100,2983,238
100,3006,219
100,2692,211
100,2924,226
100,3191,215
100,3173,205
100,2512,209
200,6488,511
200,6081,503
200,6325,488
200,6437,496
200,6724,457
200,7431,513
200,7250,496
200,6877,512
200,6606,480
200,6450,475
200,6371,472
200,6272,481
200,6992,495
200,6965,443
200,6606,493
200,6138,473
200,7071,521
200,6526,475
200,6562,508
200,6502,486
200,7226,499
200,6667,499
200,6526,492
200,6587,448
200,6512,476
200,6631,488
200,7113,509
200,7377,508
200,6459,476
200,6810,503
200,7671,479
200,6715,454
200,6239,527
200,7064,444
200,7181,516
200,7086,451
200,6497,477
200,6917,426
200,6520,534
200,6878,472
200,6600,493
200,6398,483
200,6903,488
200,6871,477
200,6980,471
200,6565,489
200,6738,503
200,6256,515
200,7053,492
200,6463,488
200,6882,471
200,6419,510
200,6743,470
200,6603,462
200,7783,483
200,7095,469
200,7308,491
200,6472,477
200,7539,472
200,6561,459
200,7001,494
200,5684,504
200,6385,493
200,6456,455
200,7477,483
200,6558,513
200,7129,528
200,6968,497
200,6522,516
200,6559,496
200,7073,502
200,6427,442
200,6475,476
200,7028,483
200,7306,491
200,6430,477
200,6644,474
200,6728,539
200,7095,526
200,6270,491
200,7271,471
200,7405,529
200,6881,463
200,6695,476
200,7442,493
200,7004,486
200,6556,480
200,6482,515
200,6677,472
200,6436,531
200,6760,442
200,7005,507
200,6011,496
200,6645,484
200,6625,522
200,6210,490
200,7174,471
200,6591,506
200,7275,505
200,6682,477
200,6834,508
300,10543,790
300,10152,733
300,10323,765
300,10886,750
300,10441,761
300,10457,777
300,9747,770
300,9603,762
300,10998,817
300,11682,724
300,9861,775
300,10713,769
300,11825,793
300,10878,775
300,11666,778
300,10981,750
300,9979,740
300,10280,789
300,10143,761
300,10550,738
300,9871,764
300,10778,772
300,11415,779
300,11033,777
300,10171,728
300,10269,744
300,11024,705
300,11104,774
300,10543,769
300,10200,794
300,11147,734
300,12008,814
300,11085,823
300,10250,807
300,10827,782
300,10929,792
300,9502,742
300,11489,778
300,10580,787
300,10789,801
300,10293,793
300,10314,747
300,10879,778
300,11119,730
300,10017,778
300,10712,780
300,10460,783
300,9544,751
300,9822,746
300,10528,762
300,10215,800
300,10254,751
300,10720,754
300,10371,779
300,10987,794
300,10409,757
300,9800,794
300,10754,790
300,11779,790
300,10330,774
300,11005,765
300,10264,772
300,10263,746
300,12599,768
300,10762,796
300,10597,735
300,10663,708
300,10960,801
300,10292,772
300,10857,798
300,10477,770
300,10620,791
300,11116,782
300,10210,764
300,9833,786
300,9755,769
300,9748,760
300,10994,767
300,11266,765
300,9974,758
300,10907,750
300,9825,723
300,9873,767
300,10610,738
300,10562,757
300,10340,795
300,11307,737
300,10699,762
300,10307,775
300,10399,791
300,9246,800
300,9442,753
300,10224,736
300,10050,760
300,10586,779
300,9860,779
300,10647,760
300,10953,764
300,10506,776
300,10606,765
300,10398,772
400,14786,1033
400,15819,1002
400,14540,1028
400,15592,1067
400,16272,1080
400,14741,995
400,13428,1013
400,14251,1096
400,14589,1009
400,15506,1087
400,15092,992
400,14003,1073
400,15946,1065
400,15681,1105
400,15396,1089
400,14922,1040
400,14118,1093
400,14752,1034
400,14250,1068
400,14543,1059
400,14719,1035
400,15363,1063
400,14147,1030
400,15081,1028
400,14458,1036
400,15677,1091
400,16078,1086
400,14640,1012
400,15733,1031
400,15147,1071
400,14606,1067
400,14876,1059
400,13583,1049
400,14020,1078
400,15561,1058
400,15045,1084
400,13822,1051
400,15159,1020
400,15014,1036
400,14507,1058
400,14768,1049
400,14845,1053
400,14960,997
400,15291,1095
400,14931,1073
400,14910,1094
400,14572,1043
400,14723,1094
400,15123,1028
400,14372,998
400,14196,1039
400,15597,1065
400,15391,1053
400,14586,1057
400,13256,1065
400,15228,1080
400,15176,1059
400,15064,1095
400,15367,1013
400,15165,1036
400,14189,1088
400,14526,1069
400,14554,1015
400,16128,1086
400,14231,1102
400,15443,1054
400,14749,1059
400,15374,1091
400,14903,1073
400,15083,1047
400,15525,1066
400,15208,1019
400,16028,1055
400,15241,1012
400,14087,1075
400,15620,1037
400,14898,1031
400,14050,1079
400,15594,1089
400,14040,1017
400,14632,1042
400,14222,1046
400,14462,1073
400,14608,1091
400,13537,1110
400,14842,1044
400,14184,1046
400,15811,1036
400,14243,1116
400,13847,1060
400,15329,1039
400,15625,1048
400,15679,1044
400,15071,1042
400,15136,1093
400,14994,1070
400,15256,1072
400,14528,1093
400,15089,1093
400,14868,1039
400,15062,1021
500,18445,1425
500,19780,1353
500,20291,1357
500,20598,1294
500,18769,1375
500,20730,1436
500,19921,1340
500,18836,1381
500,19204,1423
500,19417,1393
500,20120,1386
500,22536,1318
500,19814,1348
500,19560,1437
500,19738,1386
500,20709,1332
500,17362,1386
500,18118,1382
500,19677,1396
500,19124,1360
500,21336,1369
500,18277,1400
500,19331,1406
500,20086,1367
500,19087,1421
500,19099,1354
500,20598,1457
500,20567,1409
500,18340,1403
500,19498,1380
500,19154,1444
500,17542,1390
500,18572,1356
500,19892,1358
500,18066,1414
500,19508,1350
500,20721,1353
500,20947,1399
500,20599,1360
500,18021,1349
500,19308,1375
500,18981,1353
500,18995,1396
500,18300,1326
500,18868,1504
500,19985,1348
500,19258,1350
500,18429,1444
500,18505,1395
500,19124,1394
500,18549,1360
500,20554,1360
500,20733,1343
500,18550,1352
500,19282,1404
500,18940,1447
500,21094,1387
500,19740,1350
500,19931,1470
500,19698,1313
500,18213,1365
500,19536,1411
500,19460,1416
500,20959,1417
500,18802,1374
500,20002,1360
500,19876,1440
500,17910,1371
500,19347,1342
500,18824,1438
500,19002,1377
500,18727,1396
500,19341,1370
500,19541,1371
500,20037,1397
500,21263,1386
500,19234,1338
500,20738,1351
500,18867,1387
500,20269,1395
500,19795,1365
500,19310,1395
500,19668,1378
500,17988,1302
500,19339,1429
500,19144,1407
500,19885,1434
500,20333,1369
500,19797,1363
500,19437,1388
500,20155,1323
500,17697,1379
500,20059,1396
500,18627,1389
500,18529,1370
500,19590,1325
500,20061,1413
500,18779,1382
500,19797,1373
500,18653,1349
500,19703,1393
600,23052,1671
600,24159,1661
600,22338,1741
600,23335,1642
600,24060,1707
600,23027,1736
600,25024,1656
600,24272,1693
600,24284,1698
600,23082,1732
600,22845,1695
600,23295,1729
600,24071,1658
600,23845,1760
600,23360,1718
600,23074,1665
600,22598,1741
600,27095,1748
600,25914,1673
600,23413,1681
600,22723,1692
600,24938,1684
600,25143,1754
600,22732,1751
600,24698,1701
600,24494,1799
600,24457,1764
600,25245,1718
600,23787,1763
600,22636,1746
600,24238,1713
600,24551,1638
600,24587,1695
600,25007,1690
600,24249,1747
600,24326,1648
600,24230,1709
600,25522,1644
600,23546,1711
600,24850,1730
600,25778,1665
600,24349,1696
600,23978,1713
600,23328,1689
600,23178,1747
600,23451,1724
600,24475,1709
600,24423,1664
600,23860,1724
600,24185,1661
600,23609,1675
600,25253,1705
600,22294,1750
600,23781,1654
600,24851,1727
600,23172,1666
600,22905,1705
600,26223,1699
600,25567,1758
600,23987,1669
600,25349,1641
600,26022,1656
600,24157,1694
600,22756,1700
600,23061,1731
600,23057,1650
600,22489,1694
600,23501,1708
600,23654,1676
600,23691,1692
600,22184,1685
600,22737,1675
600,23010,1708
600,23069,1781
600,24441,1629
600,24648,1652
600,22349,1726
600,23537,1685
600,25371,1686
600,23774,1784
600,25245,1694
600,22559,1708
600,24311,1719
600,25040,1699
600,24363,1684
600,25504,1652
600,23037,1661
600,24115,1740
600,23071,1728
600,26049,1670
600,24449,1750
600,24979,1661
600,23389,1734
600,23651,1746
600,25609,1696
600,23106,1764
600,23046,1672
600,25238,1723
600,25260,1741
600,21975,1716
600,24258,1701
700,27700,2051
700,28463,1914
700,30185,1994
700,29015,2017
700,29485,1955
700,29562,2055
700,28743,2003
700,29088,2024
700,29024,2080
700,26875,1984
700,28603,2043
700,30333,2043
700,27614,2005
700,28788,1988
700,30067,2017
700,28478,2056
700,28259,2012
700,29393,1984
700,30625,1982
700,29497,1990
700,27642,2027
700,29430,2057
700,32609,1967
700,29265,2068
700,29037,2056
700,27935,2065
700,28080,2021
700,28366,2003
700,27916,2039
700,27860,2029
700,30057,2005
700,27721,2014
700,29599,1975
700,31197,1932
700,26315,2022
700,27164,2010
700,31433,1942
700,28900,2027
700,30961,2055
700,26633,2047
700,27834,1947
700,29046,1915
700,27144,1955
700,29692,2012
700,27521,2054
700,26796,2067
700,29063,2014
700,30532,2034
700,27234,2085
700,28779,1965
700,27424,2013
700,29185,2046
700,28460,2032
700,29495,2055
700,28052,2053
700,28139,1983
700,28683,1938
700,28602,2020
700,29787,1981
700,29651,2024
700,29083,1997
700,27973,1957
700,27349,2028
700,28126,2009
700,31478,1998
700,28696,2026
700,27567,2033
700,28916,2092
700,28384,2004
700,27686,1997
700,29985,1998
700,30674,2013
700,29645,2015
700,29927,1991
700,29106,2031
700,26552,1953
700,29137,2006
700,29310,2087
700,30574,2037
700,32205,2066
700,28106,1979
700,29221,2028
700,28797,2038
700,26741,1983
700,29206,2035
700,27098,2071
700,27558,2001
700,32152,2051
700,27219,2094
700,27021,1987
700,29939,2067
700,29533,2058
700,28879,1986
700,30069,2003
700,29028,1967
700,27261,2041
700,27262,2059
700,28530,2060
700,28189,1950
700,28869,2044
700,27933,2006
800,32518,2361
800,35530,2404
800,34259,2330
800,35230,2302
800,33496,2329
800,32684,2343
800,33300,2291
800,34561,2355
800,33036,2356
800,32251,2375
800,33639,2264
800,31759,2356
800,32945,2443
800,34606,2200
800,30994,2263
800,32010,2272
800,33646,2366
800,35167,2324
800,31357,2309
800,35456,2368
800,36075,2237
800,32877,2300
800,32673,2327
800,34556,2410
800,33771,2264
800,34866,2401
800,31451,2359
800,32496,2349
800,33563,2229
800,31179,2313
800,32640,2313
800,30190,2395
800,34076,2341
800,34357,2267
800,34834,2366
800,34061,2289
800,32652,2378
800,31316,2350
800,33959,2300
800,31727,2347
800,33234,2319
800,34794,2292
800,32887,2383
800,32398,2361
800,34558,2342
800,33356,2277
800,33599,2382
800,34919,2385
800,33467,2308
800,31519,2360
800,34833,2389
800,33186,2275
800,32776,2412
800,34851,2294
800,33851,2337
800,33258,2271
800,35096,2263
800,32315,2337
800,33772,2322
800,32491,2334
800,33207,2328
800,34727,2362
800,35235,2398
800,34469,2361
800,31928,2310
800,34241,2316
800,34033,2239
800,34644,2330
800,34442,2322
800,34071,2470
800,33531,2361
800,33317,2389
800,35370,2346
800,33370,2297
800,33507,2301
800,33826,2286
800,33852,2342
800,31753,2311
800,35436,2271
800,36446,2334
800,33493,2349
800,32720,2319
800,35069,2423
800,31702,2357
800,35606,2237
800,33091,2330
800,34181,2383
800,32267,2396
800,31854,2328
800,32628,2266
800,34226,2334
800,33837,2376
800,31469,2329
800,33298,2308
800,32649,2383
800,33645,2328
800,32909,2318
800,34301,2262
800,34716,2295
800,35941,2279
800,34314,2403
900,39170,2657
900,36980,2589
900,36226,2628
900,35810,2663
900,37288,2602
900,35189,2559
900,36745,2651
900,38522,2548
900,37565,2692
900,38017,2653
900,37757,2534
900,38196,2701
900,37807,2724
900,38929,2653
900,37729,2632
900,34558,2686
900,36950,2679
900,36359,2639
900,39125,2700
900,37084,2720
900,36657,2679
900,36251,2597
900,38703,2635
900,39204,2613
900,37531,2681
900,39760,2555
900,36706,2637
900,34628,2575
900,37490,2657
900,36307,2637
900,40385,2592
900,37404,2655
900,36644,2671
900,39853,2630
900,37325,2707
900,36880,2608
900,39511,2604
900,38620,2704
900,36245,2663
900,38513,2730
900,36575,2621
900,36948,2641
900,34090,2660
900,36498,2651
900,36854,2698
900,39371,2706
900,36387,2572
900,38022,2625
900,40382,2559
900,36110,2729
900,37513,2664
900,38838,2665
900,35191,2627
900,37201,2639
900,37230,2654
900,38675,2672
900,38104,2683
900,39446,2578
900,35344,2748
900,36232,2733
900,39123,2611
900,36139,2653
900,36769,2724
900,37598,2693
900,39332,2687
900,38713,2565
900,36805,2654
900,38340,2611
900,36652,2638
900,36052,2674
900,40357,2678
900,38060,2658
900,38544,2584
900,36912,2726
900,37466,2672
900,36386,2714
900,36103,2609
900,35725,2700
900,38740,2657
900,37003,2666
900,35048,2657
900,39550,2615
900,38637,2676
900,37571,2658
900,36547,2691
900,38382,2682
900,40632,2722
900,35102,2676
900,39108,2631
900,37861,2775
900,41608,2578
900,38418,2658
900,36320,2596
900,36600,2655
900,34432,2595
900,37488,2635
900,36895,2655
900,36626,2489
900,37705,2646
900,36167,2680
1000,40576,2977
1000,41594,3053
1000,42605,3000
1000,41539,2942
1000,43965,2986
1000,44009,2880
1000,42975,3034
1000,44476,2910
1000,40731,2967
1000,40494,2972
1000,43217,2955
1000,44959,2942
1000,41947,2951
1000,39636,2988
1000,41278,2981
1000,44733,2910
1000,45494,2952
1000,42928,2990
1000,42057,2933
1000,38787,3026
1000,44434,3024
1000,39488,3000
1000,39901,3002
1000,42290,2889
1000,41700,3023
1000,45043,2958
1000,41247,3001
1000,41268,3037
1000,42809,2988
1000,39504,2968
1000,40321,2938
1000,43037,2911
1000,42030,3017
1000,41951,2992
1000,40597,3002
1000,40737,3018
1000,44008,2926
1000,43742,2967
1000,42361,2921
1000,41214,2998
1000,43886,2897
1000,44273,2940
1000,41272,2968
1000,42333,3062
1000,41506,2922
1000,44718,2864
1000,41522,2961
1000,42043,2983
1000,44054,2992
1000,42698,2903
1000,41681,3004
1000,40700,3005
1000,42023,2960
1000,42225,2949
1000,39511,3026
1000,41214,2938
1000,41159,3101
1000,43148,2895
1000,40326,2905
1000,40971,3012
1000,41648,2950
1000,39070,2942
1000,39777,2972
1000,44134,3014
1000,44894,3054
1000,40257,2934
1000,43303,2955
1000,44125,2977
1000,44064,2995
1000,40558,3009
1000,42665,3056
1000,42045,2928
1000,41911,3061
1000,41155,2922
1000,43392,2916
1000,42048,2972
1000,40867,3014
1000,40731,3053
1000,42533,3045
1000,41550,2967
1000,44488,2984
1000,40485,2955
1000,42303,2993
1000,43755,2963
1000,42058,2941
1000,43558,3046
1000,44100,2860
1000,41132,2978
1000,44109,2936
1000,44849,2981
1000,44304,3023
1000,41021,3006
1000,42703,3040
1000,43121,2930
1000,43716,2978
1000,42148,2969
1000,42557,2872
1000,40476,2900
1000,41639,3044
1000,45436,2913
1000,44894,2909
1100,45790,3301
1100,47725,3263
1100,45512,3329
1100,43002,3306
1100,49297,3308
1100,43366,3275
1100,49045,3376
1100,45034,3377
1100,44576,3323
1100,43517,3220
1100,47310,3302
1100,45763,3316
1100,46717,3372
1100,45571,3294
1100,47868,3308
1100,48385,3351
1100,46623,3239
1100,46588,3251
1100,45281,3259
1100,43889,3331
1100,46208,3272
1100,47924,3306
1100,46145,3329
1100,45623,3284
1100,44536,3274
1100,48174,3266
1100,47392,3329
1100,45843,3243
