array_size,comparisons,swaps
100,1017,273
100,1051,280
100,954,255
100,978,277
100,993,270

100,1002,276
100,1085,260
100,1048,268
100,983,270
100,1031,271
100,1010,256
100,973,262
100,974,271
100,988,267
100,1073,258
100,1055,274
100,940,265
100,979,271
100,990,263
100,1236,260
100,918,275
100,1034,271
100,1029,261
100,947,269
100,1054,262
100,1074,281
100,938,272
100,1043,275
100,934,269
100,1037,269
100,942,281
100,1043,263
100,1060,271
100,1014,273
100,946,277
100,1004,259
100,1123,262
100,947,276
100,1115,261
100,1109,270
100,1232,268
100,1035,261
100,1101,266
100,1047,257
100,1212,256
100,1026,267
100,955,279
100,1097,275
100,967,271
100,1112,271
100,981,275
100,1192,260
100,1041,263
100,1066,267
100,992,272
100,1010,267
100,1001,267
100,1043,271
100,1008,264
100,920,272
100,935,278
100,1027,289
100,1047,263
100,1040,270
100,1169,271
100,978,266
100,1019,266
100,1027,272
100,937,269
100,1007,272
100,967,276
100,1026,260
100,938,275
100,947,277
100,980,268
100,1052,265
100,1119,254
100,993,257
100,930,273
100,1076,260
100,935,277
100,901,270
100,971,273
100,959,279
100,1002,271
100,1034,270
100,1033,266
100,1112,276
100,1017,273
100,1108,271
100,989,275
100,945,281
100,980,277
100,996,274
100,1016,265
100,1020,270
100,1101,274
100,1144,258
100,1034,271
100,917,264
200,2379,585
200,2304,595
200,2220,598
200,2369,584
200,2238,587
200,2604,578
200,2314,585
200,2247,601
200,2177,582
200,2460,583
200,2413,571
200,2566,600
200,2256,586
200,2154,587
200,2298,586
200,2208,591
200,2522,581
200,2172,586
200,2299,566
200,2366,601
200,2598,565
200,2134,595
200,2202,577
200,2348,578
200,2264,612
200,2081,596
200,2257,582
200,2274,597
200,2231,582
200,2448,579
200,2277,596
200,2280,576
200,2131,591
200,2441,587
200,2205,585
200,2097,595
200,2166,594
200,2264,586
200,2426,588
200,2258,588
200,2125,581
200,2379,592
200,2759,550
200,2430,567
200,2317,582
200,2507,588
200,2301,598
200,2175,591
200,2485,575
200,2464,586
200,2258,585
200,2205,585
200,2327,587
200,2095,599
200,2212,587
200,2163,602
200,2392,569
200,2241,586
200,2213,593
200,2373,591
200,2239,599
200,2165,573
200,2258,584
200,2301,603
200,2511,593
200,2268,590
200,2286,612
200,2204,609
200,2360,595
200,2120,583
200,2409,568
200,2418,580
200,2369,584
200,2270,593
200,2210,593
200,2235,594
200,2442,572
200,2303,585
200,2690,562
200,2147,582
200,2420,593
200,2567,566
200,2583,572
200,2075,585
200,2217,599
200,2444,577
200,2554,576
200,2246,590
200,2503,564
200,2343,570
200,2364,610
200,2135,572
200,2402,589
200,2190,590
200,2295,581
200,2512,593
200,2272,590
200,2221,588
200,2287,566
200,2309,587
200,2314,587
300,4157,932
300,3781,937
300,3591,911
300,3634,933
300,3650,931
300,3496,924
300,4096,917
300,3865,903
300,3658,935
300,3639,920
300,3552,919
300,3617,910
300,3450,951
300,3411,940
300,3525,915
300,3501,929
300,3410,913
300,3507,920
300,3832,918
300,3871,935
300,3629,933
300,3673,917
300,3557,914
300,3530,926
300,3870,917
300,3640,936
300,3534,942
300,4310,913
300,3536,924
300,3623,922
300,3783,934
300,3705,930
300,3659,934
300,3555,936
300,4033,912
300,4093,906
300,4032,911
300,3436,920
300,3705,946
300,3768,897
300,3592,921
300,3802,944
300,3676,958
300,3769,929
300,3681,902
300,3616,911
300,3599,936
300,3959,914
300,3527,914
300,3986,927
300,3733,929
300,3692,932
300,3644,949
300,4265,907
300,4101,931
300,3772,912
300,3771,926
300,3567,915
300,3490,937
300,3725,921
300,4299,918
300,3582,944
300,3887,919
300,3727,930
300,3746,925
300,3466,940
300,3557,914
300,3998,902
300,3633,924
300,3491,929
300,3918,917
300,3547,944
300,3764,917
300,3462,937
300,3594,944
300,3771,923
300,3472,949
300,3736,922
300,3840,918
300,3513,907
300,3736,922
300,4405,893
300,3595,915
300,4073,918
300,3784,909
300,3580,922
300,3661,919
300,3455,933
300,3916,894
300,3815,932
300,3807,916
300,3594,935
300,3518,938
300,3679,926
300,3791,916
300,3946,906
300,3585,945
300,3605,918
300,3566,905
300,3506,945
300,3435,926
400,5028,1298
400,5130,1290
400,5230,1254
400,5289,1250
400,5137,1262
400,5131,1256
400,5126,1286
400,5024,1284
400,4805,1287
400,5049,1261
400,5051,1267
400,5213,1305
400,5231,1280
400,5166,1273
400,5178,1293
400,5370,1240
400,5156,1274
400,5089,1274
400,5425,1270
400,5118,1268
400,5182,1282
400,5120,1279
400,5331,1239
400,5147,1265
400,5427,1263
400,5222,1270
400,5039,1264
400,5349,1265
400,5762,1250
400,4651,1304
400,4805,1249
400,4929,1291
400,5509,1282
400,5308,1289
400,5134,1275
400,4986,1284
400,5064,1253
400,5070,1270
400,4791,1305
400,5150,1275
400,5055,1268
400,5031,1294
400,5291,1278
400,5052,1273
400,5174,1262
400,5198,1285
400,5213,1266
400,5077,1277
400,4789,1291
400,5315,1244
400,5238,1248
400,5092,1263
400,5067,1261
400,5181,1262
400,5249,1259
400,5248,1274
400,5211,1262
400,5221,1263
400,4879,1270
400,5435,1260
400,4894,1284
400,4953,1291
400,5004,1264
400,5054,1296
400,4670,1284
400,5182,1265
400,5205,1271
400,4997,1256
400,5104,1277
400,5586,1261
