array_size,comparisons,swaps
100,1900,205
100,2120,203
100,2037,193
100,2056,211
100,1816,183
100,2086,188
100,2233,202
100,2167,187
100,2131,201
100,2198,205
100,2394,188
100,2495,192
100,2010,205
100,2072,200
100,1939,193
100,2174,190
100,2096,184
100,2356,189
100,2068,190
100,2182,193
100,1964,188
100,2286,223
100,2051,215
100,2053,191
100,2137,179
100,2302,210
100,2171,204
100,1922,199
100,2205,209
100,2239,209
100,2207,192
100,2135,186
100,2351,217
100,2302,190
100,2257,186
100,2022,195
100,2014,188
100,2302,197
100,2186,179
100,2105,215
100,2139,198
100,2266,182
100,2055,184
100,2363,187
100,1934,183
100,2132,198
100,2022,207
100,2459,195
100,2365,192
100,2046,207
100,2148,204
100,2422,196
100,2233,181
100,2220,186
100,2226,208
100,2421,186
100,2308,182
100,2050,200
100,2034,188
100,2140,201
100,2158,175
100,2252,172
100,2030,193
100,2009,198
100,2210,197
100,2349,206
100,2215,196
100,1817,178
100,2093,201
100,2207,193
100,2091,194
100,2057,195
100,2301,219
100,2575,187
100,2168,207
100,2067,189
100,2261,190
100,2245,195
100,2216,230
100,2285,213
100,1951,201
100,2278,178
100,2135,198
100,2291,203
100,2384,203
100,2376,209
100,2052,199
100,2006,198
100,1846,207
100,2396,219
100,2323,182
100,2109,202
100,2260,189
100,1879,196
100,1906,196
100,2208,212
100,2257,206
100,2071,193
100,2394,220
100,2211,198
100,2136,214
200,5299,441
200,4952,437
200,4489,447
200,4895,417
200,4866,423
200,5419,443
200,5081,461
200,5328,436
200,5403,472
200,5061,454
200,5529,412
200,4954,436
200,5284,431
200,4847,429
200,5161,463
200,5175,487
200,4821,427
200,5041,444
200,5612,457
200,5234,438
200,4697,466
200,4924,448
200,5011,440
200,5034,453
200,4839,450
200,5393,455
200,4614,463
200,4648,422
200,5275,486
200,5015,436
200,5415,447
200,4994,447
200,4958,446
200,4513,439
200,5200,435
200,5135,442
200,4844,459
200,4935,442
200,5136,471
200,5288,429
200,4670,445
200,4536,469
200,4522,447
200,5124,473
200,4769,452
200,5308,447
200,5447,436
200,5011,457
200,5182,435
200,5151,430
200,4530,451
200,4786,469
200,4451,449
200,4796,446
200,4835,452
200,5006,441
200,4962,482
200,4788,488
200,5019,431
200,4617,469
200,5507,458
200,5282,444
200,5326,478
200,4554,461
200,4620,456
200,5196,469
200,5329,433
200,4712,442
200,5424,451
200,4927,450
200,4974,459
200,4791,446
200,4680,452
200,5183,449
200,4906,441
200,5032,427
200,5559,439
200,5097,468
200,4842,443
200,4901,453
200,4729,429
200,4595,473
200,5026,446
200,5405,474
200,4952,461
200,4773,457
200,4787,452
200,5307,455
200,5090,439
200,4932,440
200,5081,457
200,4431,465
200,4671,445
200,4615,446
200,4610,454
200,5007,436
200,5604,447
200,4639,457
200,5411,438
200,5096,458
200,5279,448
300,7953,693
300,9048,753
300,8618,728
300,8026,693
300,7546,768
300,7989,706
300,7705,760
300,8611,714
300,8299,729
300,8656,712
300,8358,772
300,8103,676
300,7857,704
300,7962,719
300,8274,718
300,8034,704
300,8584,670
300,8020,718
300,8054,735
300,7932,741
300,7909,720
300,7916,725
300,7782,715
300,8011,734
300,8592,716
300,7350,725
300,7859,710
300,8262,750
300,7464,699
300,8308,702
300,7687,680
300,7751,715
300,7758,726
300,8180,736
300,7651,704
300,7894,737
300,7948,716
300,8073,720
300,7633,710
300,8089,674
300,7678,701
300,7526,691
300,8928,749
300,8038,733
300,8496,716
300,8134,712
300,8241,679
300,7970,693
300,7896,765
300,7485,678
300,8300,750
300,8727,719
300,8143,724
300,8192,706
300,8087,708
300,7791,721
300,8419,747
300,8459,671
300,7584,715
300,7623,684
300,8230,724
300,8268,716
300,7739,726
300,8660,701
300,7544,707
300,8315,699
300,8393,700
300,8585,675
300,7699,733
300,7680,708
300,7961,731
300,8701,732
300,7531,693
300,7833,717
300,8273,743
300,8511,714
300,8913,677
300,8509,729
300,8837,733
300,7439,722
300,8320,731
300,7573,749
300,7919,700
300,8217,704
300,7848,702
300,7509,736
300,7525,740
300,7401,718
300,8088,707
300,7719,717
300,8296,682
300,7960,731
300,8559,672
300,8808,686
300,7577,695
300,8734,699
300,7659,696
300,7569,751
300,7807,705
300,7794,742
300,8207,714
400,11016,986
400,10381,972
400,10727,995
400,10428,968
400,12090,968
400,11758,966
400,11405,942
400,11190,935
400,12758,1050
400,11533,952
400,11424,998
400,12157,973
400,11882,979
400,11765,984
400,11670,952
400,10977,977
400,11762,955
400,10834,993
400,11563,1008
400,12210,960
400,10786,997
400,10231,992
400,10887,1022
400,11294,982
400,10266,984
400,10644,968
400,11675,1005
400,11527,964
400,11980,985
400,11455,974
400,12350,968
400,10487,1045
400,10543,990
400,11237,1013
400,11017,982
400,10888,1017
400,11837,1013
400,11468,995
400,11690,1009
400,11033,995
400,11821,983
400,10465,1017
400,10735,1008
400,11728,1007
400,12073,999
400,11290,952
400,12663,1023
400,12085,998
400,11292,979
400,10665,967
400,11078,1015
400,12701,989
400,10742,952
400,10621,1025
400,11682,982
400,10426,995
400,11926,957
400,11045,1005
400,11604,1015
400,11097,1016
400,11206,999
400,11406,995
400,11043,963
400,11479,1002
400,11206,1014
400,10768,984
400,10819,972
400,10635,968
400,11573,975
400,12321,980
400,11851,968
400,12931,957
400,12403,1015
400,11005,992
400,11502,1001
400,11915,1003
400,11993,978
400,11838,988
400,10572,1012
400,11653,1005
400,10585,1030
400,11435,984
400,11686,964
400,11274,958
400,11800,980
400,11487,1004
400,11265,1018
400,10807,1007
400,11085,1015
400,11481,1021
400,10328,1009
400,12252,1013
400,12451,1001
400,11245,972
400,10459,994
400,11384,958
400,11514,1010
400,10982,977
400,11367,984
400,11653,989
400,12083,972
500,15150,1303
500,14464,1291
500,14705,1260
500,14790,1284
500,14596,1232
500,14774,1288
500,14240,1247
500,16142,1254
500,14063,1234
500,14750,1252
500,14311,1304
500,14506,1260
500,15137,1256
500,15267,1263
500,13825,1275
500,14878,1267
500,14139,1265
500,13498,1288
500,15033,1244
500,15301,1272
500,13825,1231
500,15190,1264
500,14185,1276
500,14443,1265
500,13615,1246
500,14575,1314
500,14813,1265
500,13371,1247
500,15110,1293
500,13721,1262
500,14309,1253
500,16020,1314
500,15395,1257
500,14505,1251
500,14345,1242
500,15136,1283
500,15376,1273
500,15612,1247
500,14572,1281
500,14758,1290
500,15418,1255
500,15725,1242
500,14262,1288
500,15169,1283
500,14959,1296
500,14688,1269
500,14911,1315
500,15963,1296
500,14337,1263
500,13644,1298
500,13626,1300
500,14660,1278
500,14811,1252
500,14177,1273
500,14569,1319
500,14916,1266
500,14943,1216
500,14703,1278
500,14567,1246
500,14853,1246
500,15343,1294
500,13987,1328
500,14820,1250
500,15489,1236
500,14645,1286
500,14262,1268
500,13972,1264
500,14286,1263
500,15256,1267
500,15174,1237
500,13421,1276
500,14885,1265
500,15726,1218
500,15764,1265
500,13916,1265
500,14663,1308
500,14980,1280
500,15788,1198
500,13860,1293
500,14738,1227
500,13942,1276
500,16279,1289
500,13836,1241
500,15456,1285
500,14375,1232
500,14790,1274
500,14919,1240
500,15538,1255
500,15975,1267
500,14696,1272
500,14452,1281
500,15199,1269
500,15612,1306
500,17059,1253
500,13528,1268
500,14416,1267
500,16177,1254
500,13624,1313
500,15208,1283
500,15064,1244
500,14845,1320
600,17851,1550
600,17767,1570
600,18414,1559
600,17857,1603
600,18244,1567
600,18558,1556
600,16296,1576
600,19581,1535
600,16179,1553
600,16738,1564
600,18320,1615
600,18013,1618
600,18513,1536
600,18311,1520
600,17479,1563
600,17686,1588
600,17786,1604
600,16963,1560
600,19295,1549
600,17350,1570
600,17838,1532
600,17569,1531
600,16728,1520
600,16891,1617
600,17861,1566
600,18969,1592
600,18505,1619
600,17361,1575
600,18781,1500
600,17699,1539
600,18910,1562
600,18082,1635
600,17737,1581
600,16910,1612
600,17653,1551
600,18152,1520
600,18431,1620
600,18520,1493
600,18871,1566
600,18174,1557
600,18001,1528
600,17689,1574
600,18634,1578
600,17091,1611
600,19099,1494
600,19034,1581
600,17641,1572
600,18564,1550
600,17351,1579
600,18386,1592
600,17090,1559
600,17153,1539
600,18255,1550
600,19025,1582
600,20174,1572
600,18502,1539
600,18771,1545
600,18977,1538
600,18430,1551
600,18011,1564
600,18480,1591
600,16264,1619
600,17979,1517
600,17071,1565
600,18411,1628
600,17633,1572
600,17667,1561
600,17669,1628
600,17589,1655
600,17435,1621
600,17383,1614
600,18836,1552
600,17470,1565
600,18263,1537
600,18870,1589
600,18864,1571
600,20052,1572
600,19073,1524
600,17792,1529
600,18305,1561
600,19355,1566
600,18995,1595
600,17935,1523
600,18584,1555
600,17019,1517
600,17828,1595
600,17388,1572
600,17923,1594
600,17323,1605
600,19016,1545
600,17721,1579
600,19262,1588
600,18695,1603
600,17686,1600
600,19222,1568
600,18236,1562
600,17649,1577
600,18554,1501
600,19553,1597
600,18042,1591
700,22049,1910
700,21655,1876
700,20185,1867
700,20745,1938
700,20590,1842
700,23563,1818
700,24281,1858
700,22619,1842
700,24205,1776
700,20607,1928
700,20701,1855
700,22395,1820
700,20502,1854
700,20762,1867
700,21136,1870
700,20412,1863
700,22557,1799
700,22974,1810
700,22092,1856
700,21150,1887
700,20373,1914
700,21206,1835
700,20801,1905
700,21128,1927
700,23164,1826
700,21719,1865
700,21576,1842
700,22883,1856
700,22317,1887
700,23251,1839
700,22345,1807
700,22363,1922
700,22405,1872
700,23192,1817
700,21040,1875
700,21130,1876
700,22639,1876
700,22084,1842
700,21537,1896
700,22494,1899
700,21912,1887
700,21092,1887
700,24152,1821
700,22233,1878
700,22524,1859
700,22942,1807
700,21024,1861
700,23315,1848
700,19869,1828
700,22364,1905
700,21532,1850
700,22435,1900
700,20786,1923
700,22926,1868
700,21585,1911
700,23268,1946
700,21511,1888
700,20322,1859
700,21271,1885
700,23279,1844
700,22409,1823
700,20708,1862
700,20906,1863
700,20880,1863
700,22370,1864
700,21363,1896
700,22524,1888
700,20746,1861
700,21251,1882
700,21743,1900
700,22384,1848
700,21989,1857
700,21558,1886
700,21483,1859
700,22374,1869
700,20686,1918
700,24135,1783
700,20689,1945
700,21657,1901
700,23929,1858
700,21481,1838
700,21962,1894
700,21316,1926
700,21807,1903
700,22545,1857
700,21351,1892
700,20940,1888
700,21754,1855
700,21978,1848
700,21865,1917
700,24298,1879
700,20650,1858
700,21535,1923
700,20519,1837
700,19565,1889
700,20173,1921
700,21792,1892
700,22729,1865
700,22088,1838
700,21715,1873
700,20431,1876
800,25593,2241
800,23444,2149
800,24144,2167
800,24293,2185
800,25072,2205
800,25787,2152
800,25421,2212
800,26412,2181
800,24467,2222
800,23757,2154
800,26742,2149
800,24672,2193
800,24212,2167
800,26887,2130
800,25843,2193
800,26625,2163
800,23871,2187
800,26399,2119
800,24676,2159
800,24803,2228
800,25556,2121
800,26572,2099
800,27307,2192
800,23717,2146
800,27304,2081
800,25300,2152
800,23729,2218
800,24630,2194
800,25175,2164
800,25300,2118
800,26472,2075
800,27471,2166
800,26367,2178
800,25200,2190
800,26296,2153
800,25400,2145
