n,gen,case,comparisons,ptr_ops,height
10000,ascending,avg,9996.58,12505.5,10000
10000,ascending,worst,19677,20002,10000
10000,ascending,avg,9998.96,12506.7,10000
10000,ascending,worst,19875,20002,10000
10000,ascending,avg,9997,12505.8,10000
10000,ascending,worst,19663,20002,10000
10000,ascending,avg,9978.13,12496.3,10000
10000,ascending,worst,19701,20002,10000
10000,ascending,avg,10017.9,12516.2,10000
10000,ascending,worst,19603,20002,10000
10000,ascending,avg,10025.8,12520.1,10000
10000,ascending,worst,19523,20002,10000
10000,ascending,avg,9990.56,12502.5,10000
10000,ascending,worst,19793,20002,10000
10000,ascending,avg,9994.78,12504.6,10000
10000,ascending,worst,19989,20002,10000
10000,ascending,avg,10045.1,12529.8,10000
10000,ascending,worst,19811,20002,10000
10000,ascending,avg,10027.7,12521.1,10000
10000,ascending,worst,19663,20002,10000
10000,ascending,avg,10006.7,12510.6,10000
10000,ascending,worst,19751,20002,10000
10000,ascending,avg,10038.6,12526.5,10000
10000,ascending,worst,19487,20002,10000
10000,ascending,avg,9994.43,12504.5,10000
10000,ascending,worst,19905,20002,10000
10000,ascending,avg,9966.98,12490.7,10000
10000,ascending,worst,19717,20002,10000
10000,ascending,avg,10045.7,12530.1,10000
10000,ascending,worst,19847,20002,10000
10000,ascending,avg,10032.8,12523.6,10000
10000,ascending,worst,19655,20002,10000
10000,ascending,avg,10003.1,12508.8,10000
10000,ascending,worst,19831,20002,10000
10000,ascending,avg,9974.25,12494.4,10000
10000,ascending,worst,19729,20002,10000
10000,ascending,avg,9981.14,12497.8,10000
10000,ascending,worst,19859,20002,10000
10000,ascending,avg,9997.63,12506.1,10000
10000,ascending,worst,19959,20002,10000
10000,ascending,avg,9990.73,12502.6,10000
10000,ascending,worst,19957,20002,10000
20000,ascending,avg,20004.2,25009.4,20000
20000,ascending,worst,39537,40002,20000
20000,ascending,avg,19977.5,24996,20000
20000,ascending,worst,39459,40002,20000
20000,ascending,avg,19963.7,24989.1,20000
20000,ascending,worst,39951,40002,20000
20000,ascending,avg,19944.6,24979.5,20000
20000,ascending,worst,39871,40002,20000
20000,ascending,avg,19980.6,24997.6,20000
20000,ascending,worst,39599,40002,20000
20000,ascending,avg,20017.6,25016.1,20000
20000,ascending,worst,39579,40002,20000
20000,ascending,avg,20082.2,25048.3,20000
20000,ascending,worst,39817,40002,20000
20000,ascending,avg,20021,25017.8,20000
20000,ascending,worst,39533,40002,20000
20000,ascending,avg,19996.5,25005.5,20000
20000,ascending,worst,39601,40002,20000
20000,ascending,avg,20011.3,25012.9,20000
20000,ascending,worst,39613,40002,20000
20000,ascending,avg,19998.1,25006.3,20000
20000,ascending,worst,39621,40002,20000
20000,ascending,avg,19996.8,25005.7,20000
20000,ascending,worst,39751,40002,20000
20000,ascending,avg,20034.8,25024.7,20000
