n,gen,case,comparisons,ptr_ops,height
10000,ascending,avg,13.3,16.2,11.2
10000,ascending,worst,25,28,22
10000,ascending,avg,12.7,16.0,16.6
10000,ascending,worst,25,28,22
10000,ascending,avg,13.2,16.2,13.0
10000,ascending,worst,25,28,22
10000,ascending,avg,13.2,16.4,15.5
10000,ascending,worst,25,28,22
10000,ascending,avg,12.9,15.9,12.9
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,15.9,12.9
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,16.6,15.3
10000,ascending,worst,25,28,22
10000,ascending,avg,12.7,16.4,11.8
10000,ascending,worst,25,28,22
10000,ascending,avg,13.1,16.5,12.0
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,16.4,16.5
10000,ascending,worst,25,28,22
10000,ascending,avg,13.2,16.2,14.3
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,16.5,12.1
10000,ascending,worst,25,28,22
10000,ascending,avg,13.2,16.1,12.1
10000,ascending,worst,25,28,22
10000,ascending,avg,12.7,16.3,13.8
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,16.4,15.9
10000,ascending,worst,25,28,22
10000,ascending,avg,12.9,16.5,13.0
10000,ascending,worst,25,28,22
10000,ascending,avg,13.1,16.5,12.6
10000,ascending,worst,25,28,22
10000,ascending,avg,13.2,16.2,14.3
10000,ascending,worst,25,28,22
10000,ascending,avg,12.7,16.5,14.3
10000,ascending,worst,25,28,22
10000,ascending,avg,12.8,16.2,16.0
10000,ascending,worst,25,28,22
20000,ascending,avg,13.7,17.3,18.8
20000,ascending,worst,27,30,28
20000,ascending,avg,14.2,17.8,20.8
20000,ascending,worst,27,30,28
20000,ascending,avg,13.8,17.5,18.6
20000,ascending,worst,27,30,28
20000,ascending,avg,14.1,17.2,21.4
20000,ascending,worst,27,30,28
20000,ascending,avg,13.7,17.2,20.8
20000,ascending,worst,27,30,28
20000,ascending,avg,13.8,17.5,18.2
20000,ascending,worst,27,30,28
20000,ascending,avg,13.8,17.3,14.9
20000,ascending,worst,27,30,28
20000,ascending,avg,13.7,17.2,21.3
20000,ascending,worst,27,30,28
20000,ascending,avg,14.3,17.4,20.6
20000,ascending,worst,27,30,28
20000,ascending,avg,14.0,17.6,21.4
20000,ascending,worst,27,30,28
20000,ascending,avg,14.1,17.7,15.1
20000,ascending,worst,26,30,28
20000,ascending,avg,13.8,17.6,20.7
20000,ascending,worst,27,30,28
20000,ascending,avg,13.7,17.8,21.5
20000,ascending,worst,27,30,28
20000,ascending,avg,14.1,17.2,18.5
20000,ascending,worst,27,30,28
20000,ascending,avg,13.8,17.6,17.5
20000,ascending,worst,27,30,28
20000,ascending,avg,13.9,17.2,18.0
20000,ascending,worst,27,30,28
20000,ascending,avg,14.0,17.3,20.5
20000,ascending,worst,27,30,28
20000,ascending,avg,14.1,17.6,14.6
20000,ascending,worst,27,30,28
20000,ascending,avg,13.7,17.5,19.1
20000,ascending,worst,27,30,28
20000,ascending,avg,14.1,17.5,20.5
20000,ascending,worst,27,30,28
30000,ascending,avg,14.1,17.6,15.3
30000,ascending,worst,27,30,24
30000,ascending,avg,13.9,17.5,13.0
30000,ascending,worst,27,30,24
30000,ascending,avg,13.9,17.5,16.3
30000,ascending,worst,27,30,24
30000,ascending,avg,14.3,17.5,12.5
30000,ascending,worst,27,30,24
30000,ascending,avg,14.2,17.4,15.8
30000,ascending,worst,27,30,24
30000,ascending,avg,13.8,17.5,12.6
30000,ascending,worst,27,30,24
30000,ascending,avg,14.1,17.5,12.7
30000,ascending,worst,27,30,24
30000,ascending,avg,13.7,17.3,15.4
30000,ascending,worst,27,30,24
30000,ascending,avg,13.7,17.7,13.9
30000,ascending,worst,27,30,24
30000,ascending,avg,14.3,17.6,18.1
30000,ascending,worst,27,30,24
30000,ascending,avg,13.8,17.6,12.9
30000,ascending,worst,27,30,24
30000,ascending,avg,13.8,17.7,12.8
30000,ascending,worst,27,30,24
30000,ascending,avg,14.3,17.3,15.4
30000,ascending,worst,27,30,24
30000,ascending,avg,14.0,17.4,13.2
30000,ascending,worst,27,30,24
30000,ascending,avg,14.1,17.7,14.0
30000,ascending,worst,27,30,24
30000,ascending,avg,14.1,17.8,17.5
30000,ascending,worst,27,30,24
30000,ascending,avg,14.2,17.2,18.0
30000,ascending,worst,27,30,24
30000,ascending,avg,14.2,17.8,16.2
30000,ascending,worst,27,30,24
30000,ascending,avg,14.2,17.8,15.3
30000,ascending,worst,27,30,24
30000,ascending,avg,14.0,17.6,13.3
30000,ascending,worst,26,30,24
40000,ascending,avg,14.8,18.6,8.8
40000,ascending,worst,29,32,16
40000,ascending,avg,15.4,18.6,11.9
40000,ascending,worst,29,32,16
40000,ascending,avg,14.8,18.7,11.1
40000,ascending,worst,29,32,16
40000,ascending,avg,15.1,18.6,9.0
40000,ascending,worst,29,32,16
40000,ascending,avg,15.2,19.1,9.7
40000,ascending,worst,29,32,16
40000,ascending,avg,15.1,18.9,10.4
40000,ascending,worst,29,32,16
40000,ascending,avg,15.1,19.1,8.5
40000,ascending,worst,29,32,16
40000,ascending,avg,14.7,18.6,9.1
40000,ascending,worst,29,32,16
40000,ascending,avg,15.1,19.1,9.1
40000,ascending,worst,29,32,16
40000,ascending,avg,15.0,18.6,11.2
40000,ascending,worst,28,32,16
40000,ascending,avg,14.7,19.1,9.5
40000,ascending,worst,29,32,16
40000,ascending,avg,14.9,18.6,8.7
40000,ascending,worst,29,32,16
40000,ascending,avg,15.1,18.9,10.4
40000,ascending,worst,29,32,16
40000,ascending,avg,14.9,19.0,10.0
40000,ascending,worst,29,32,16
40000,ascending,avg,14.8,18.9,10.0
40000,ascending,worst,28,32,16
40000,ascending,avg,15.0,18.7,8.9
40000,ascending,worst,29,32,16
40000,ascending,avg,15.4,18.4,11.1
40000,ascending,worst,29,32,16
40000,ascending,avg,15.2,18.9,11.0
40000,ascending,worst,29,32,16
40000,ascending,avg,15.3,18.8,8.7
40000,ascending,worst,29,32,16
40000,ascending,avg,14.8,18.6,10.8
40000,ascending,worst,29,32,16
50000,ascending,avg,15.2,18.7,11.2
50000,ascending,worst,29,32,17
50000,ascending,avg,15.1,18.6,12.6
50000,ascending,worst,29,32,17
50000,ascending,avg,15.2,18.4,11.4
50000,ascending,worst,29,32,17
50000,ascending,avg,14.6,18.9,9.8
50000,ascending,worst,29,32,17
50000,ascending,avg,14.9,18.6,12.7
50000,ascending,worst,29,32,17
50000,ascending,avg,14.8,18.7,12.3
50000,ascending,worst,29,32,17
50000,ascending,avg,14.8,19.1,10.1
50000,ascending,worst,29,32,17
50000,ascending,avg,14.7,18.6,12.3
50000,ascending,worst,29,32,17
50000,ascending,avg,14.7,18.8,10.1
50000,ascending,worst,29,32,17
50000,ascending,avg,15.0,19.1,12.4
50000,ascending,worst,29,32,17
50000,ascending,avg,15.0,18.8,11.7
50000,ascending,worst,29,32,17
50000,ascending,avg,14.9,18.8,10.5
50000,ascending,worst,29,32,17
50000,ascending,avg,15.3,18.9,9.9
50000,ascending,worst,29,32,17
50000,ascending,avg,15.0,18.6,12.3
50000,ascending,worst,29,32,17
50000,ascending,avg,14.7,19.1,12.1
50000,ascending,worst,29,32,17
50000,ascending,avg,15.2,18.7,13.0
50000,ascending,worst,29,32,17
50000,ascending,avg,14.7,18.4,12.8
50000,ascending,worst,29,32,17
