n,gen,case,comparisons,ptr_ops,height
10000,ascending,avg,35.4936,146.027,37.466
10000,ascending,worst,14321,57283,3581
10000,ascending,avg,35.5198,146.132,33.4779
10000,ascending,worst,18243,72972,4562
10000,ascending,avg,35.5924,146.45,33.6004
10000,ascending,worst,15763,63052,3942
10000,ascending,avg,35.5856,146.395,34.6758
10000,ascending,worst,16277,65107,4070
10000,ascending,avg,35.6284,146.587,31.9271
10000,ascending,worst,16153,64611,4040
10000,ascending,avg,35.4526,145.84,35.6706
10000,ascending,worst,8471,33884,8271
10000,ascending,avg,35.707,146.91,33.5977
10000,ascending,worst,13311,53244,3346
10000,ascending,avg,35.5048,146.061,34.2998
10000,ascending,worst,10537,42147,8231
10000,ascending,avg,35.4128,145.686,33.6173
10000,ascending,worst,12851,51404,3575
10000,ascending,avg,35.3984,145.606,40.1163
10000,ascending,worst,10905,43619,8730
10000,ascending,avg,35.4504,145.859,37.4065
10000,ascending,worst,8903,35612,5550
10000,ascending,avg,35.4926,145.984,34.8943
10000,ascending,worst,7209,28835,6397
10000,ascending,avg,35.4938,146.022,36.6008
10000,ascending,worst,6761,27043,6818
10000,ascending,avg,35.575,146.383,35.7914
10000,ascending,worst,15559,62236,3891
10000,ascending,avg,35.612,146.489,35.5661
10000,ascending,worst,6503,26012,7337
10000,ascending,avg,35.3596,145.479,39.0911
10000,ascending,worst,6701,26803,9194
10000,ascending,avg,35.388,145.604,36.2977
10000,ascending,worst,10387,41549,7237
10000,ascending,avg,35.6324,146.544,34.702
10000,ascending,worst,8621,34483,5690
10000,ascending,avg,35.4368,145.76,35.1487
10000,ascending,worst,8345,33379,9017
10000,ascending,avg,35.606,146.465,36.1593
10000,ascending,worst,14141,56563,3536
10000,ascending,avg,35.4648,145.872,36.7254
10000,ascending,worst,13559,54236,3391
20000,ascending,avg,38.6394,159.182,35.0713
20000,ascending,worst,33743,134972,8437
20000,ascending,avg,38.6016,159.027,36.7832
20000,ascending,worst,20019,80076,9992
20000,ascending,avg,38.5689,158.889,37.3317
20000,ascending,worst,38065,152259,9517
20000,ascending,avg,38.56,158.887,38.6485
20000,ascending,worst,26253,105011,6874
20000,ascending,avg,38.4378,158.376,41.7371
20000,ascending,worst,13661,54643,13172
20000,ascending,avg,38.5589,158.866,41.1031
20000,ascending,worst,28661,114643,18729
20000,ascending,avg,38.5084,158.65,38.7057
20000,ascending,worst,24517,98067,16774
20000,ascending,avg,38.5451,158.831,35.8592
20000,ascending,worst,34891,139564,8724
20000,ascending,avg,38.406,158.26,39.5812
20000,ascending,worst,32393,129571,8099
20000,ascending,avg,38.5309,158.735,36.4804
20000,ascending,worst,16517,66067,12784
20000,ascending,avg,38.5191,158.679,36.333
20000,ascending,worst,31139,124556,7788
20000,ascending,avg,38.4237,158.336,41.2535
20000,ascending,worst,11245,44979,14378
20000,ascending,avg,38.5242,158.694,37.2922
20000,ascending,worst,25415,101660,7295
20000,ascending,avg,38.5817,158.965,39.8743
20000,ascending,worst,38721,154883,9681
20000,ascending,avg,38.6537,159.238,38.9442
20000,ascending,worst,22035,88140,8985
20000,ascending,avg,38.5675,158.89,38.8518
20000,ascending,worst,27581,110323,6896
20000,ascending,avg,38.4945,158.625,37.4974
20000,ascending,worst,24303,97212,17857
20000,ascending,avg,38.4546,158.449,39.6792
20000,ascending,worst,25619,102476,18120
20000,ascending,avg,38.5601,158.886,35.8343
20000,ascending,worst,23053,92211,8475
20000,ascending,avg,38.3966,158.188,40.2506
20000,ascending,worst,11047,44188,18980
20000,ascending,avg,38.5523,158.839,37.757
20000,ascending,worst,24147,96588,7931
30000,ascending,avg,40.2235,165.87,41.3974
30000,ascending,worst,43539,174156,10886
30000,ascending,avg,40.1669,165.617,41.7782
30000,ascending,worst,28505,114019,24734
30000,ascending,avg,40.1871,165.69,46.3322
30000,ascending,worst,28681,114723,28187
30000,ascending,avg,40.2188,165.842,41.8112
30000,ascending,worst,19293,77172,22834
30000,ascending,avg,40.1837,165.705,44.268
30000,ascending,worst,36213,144851,24995
30000,ascending,avg,40.271,166.037,41.6758
