n,cmp_total
100,1798
200,4203
300,6763
400,9539
500,12414
600,15331
700,18292
800,21441
900,24665
1000,27833
1100,31029
1200,34341
1300,37551
1400,41006
1500,44352
1600,47475
1700,51041
1800,54529
1900,57944
2000,61615
2100,65157
2200,68527
2300,72268
2400,75737
2500,79334
2600,83437
2700,87253
2800,91110
2900,95006
3000,98944
3100,102921
3200,106940
3300,110998
3400,115097
3500,119237
3600,123417
3700,127638
3800,131899
3900,136200
4000,140542
4100,144925
4200,149348
4300,153811
4400,158315
4500,162859
4600,167444
4700,172070
4800,176735
4900,181442
5000,186188
5100,190976
5200,195803
5300,200671
5400,205580
5500,210529
5600,215519
5700,220549
5800,225619
5900,230730
6000,235882
6100,241074
6200,246306
6300,251579
6400,256893
6500,262246
6600,267641
6700,273076
6800,278551
6900,284067
7000,289623
7100,295220
7200,300857
7300,306534
7400,312252
7500,318011
7600,323810
7700,329650
7800,335530
7900,341450
8000,347411
8100,353413
8200,359454
8300,365537
8400,371660
8500,377823
8600,384027
8700,390271
8800,396556
8900,402881
9000,409247
9100,415653
9200,422100
9300,428587
9400,435114
9500,441683
9600,448291
9700,454940
9800,461630
9900,468360
10000,475130
