n,cmp_total
100,3062
200,7181
300,11610
400,16384
500,21064
600,26137
700,31301
800,36635
900,41909
1000,47189
1100,52808
1200,58560
1300,64218
1400,69822
1500,75584
1600,81326
1700,87008
1800,92874
1900,98618
2000,104848
2100,110485
2200,116727
2300,122979
2400,128995
2500,134993
2600,140951
2700,147197
2800,153389
2900,159761
3000,166073
3100,172889
3200,178545
3300,184949
3400,191147
3500,197385
3600,203839
3700,210177
3800,216589
3900,223005
4000,229267
4100,235924
4200,242250
4300,248904
4400,255662
4500,261866
4600,268890
4700,274994
4800,281852
4900,288496
5000,295306
5100,302328
5200,308816
5300,315006
5400,321908
5500,328386
5600,334744
5700,341616
5800,348738
5900,355252
6000,362348
6100,369156
6200,376262
6300,382544
6400,389594
6500,396536
6600,403018
6700,409720
6800,415992
6900,423460
7000,429844
7100,436668
7200,443880
7300,450172
7400,456602
7500,463778
7600,471236
7700,477470
7800,484706
7900,491754
8000,498458
8100,505756
8200,512461
8300,519543
8400,526703
8500,533473
8600,540601
8700,547803
8800,554773
8900,561735
9000,569271
9100,576477
9200,583679
9300,590417
9400,597227
9500,604663
9600,611105
9700,618813
9800,625671
9900,633143
10000,640909
